Date - Time,Lat,Long,Depth,Mag,Location,
25 December 2019 - 10:39 AM,9.91,124.13,9,2.7,004 km S 82° E of Sagbayan (Bohol),
25 December 2019 - 10:02 AM,6.79,125.11,14,2.6,012 km N 89° W of Bansalan (Davao Del Sur),
25 December 2019 - 09:21 AM,6.69,125.3,33,2.2,008 km S 60° E of Matanao (Davao Del Sur),
25 December 2019 - 08:51 AM,6.61,125.28,12,2.7,009 km S 55° E of Kiblawan (Davao Del Sur),
25 December 2019 - 08:40 AM,6.68,125.19,6,3.5,004 km N 47° W of Kiblawan (Davao Del Sur),
25 December 2019 - 08:04 AM,6.47,125.16,28,2.2,021 km S 18° W of Kiblawan (Davao Del Sur),
25 December 2019 - 07:57 AM,18.37,120.92,29,2.4,011 km S 05° E of Adams (Ilocos Norte),
25 December 2019 - 07:54 AM,6.4,125.22,30,1.9,016 km N 14° W of Malungon (Sarangani),
25 December 2019 - 07:35 AM,18.42,120.9,32,2.2,004 km S 09° W of Adams (Ilocos Norte),
25 December 2019 - 07:26 AM,6.57,125.35,25,2.2,003 km S 15° E of Sulop (Davao Del Sur),
25 December 2019 - 04:54 AM,6.6,125.2,14,3.3,006 km S 13° W of Kiblawan (Davao Del Sur),
25 December 2019 - 04:43 AM,6.64,125.26,16,2,006 km S 79° E of Kiblawan (Davao Del Sur),
25 December 2019 - 04:32 AM,6.62,125.25,29,2.3,005 km S 48° E of Kiblawan (Davao Del Sur),
25 December 2019 - 04:26 AM,6.63,125.27,28,2.6,007 km S 63° E of Kiblawan (Davao Del Sur),
25 December 2019 - 04:13 AM,6.51,125.22,14,2.4,016 km S 01° E of Kiblawan (Davao Del Sur),
25 December 2019 - 04:03 AM,16.29,120.27,28,3.4,010 km S 70° W of Agoo (La Union),
25 December 2019 - 03:57 AM,6.79,124.95,20,2.7,002 km S 04° E of Columbio (Sultan Kudarat),
25 December 2019 - 03:47 AM,6.62,124.95,14,3.4,008 km N 01° W of Lutayan (Sultan Kudarat),
25 December 2019 - 03:39 AM,6.69,125.34,33,2.2,006 km N 21° W of Padada (Davao Del Sur),
25 December 2019 - 03:08 AM,10.34,122.42,31,3.3,025 km S 31° W of Nueva Valencia (Guimaras),
25 December 2019 - 02:40 AM,6.35,124.85,71,2.3,025 km S 28° W of Lutayan (Sultan Kudarat),
25 December 2019 - 02:07 AM,6.48,125.12,28,2.3,020 km S 68° E of Lutayan (Sultan Kudarat),
25 December 2019 - 01:36 AM,6.5,125.37,5,3.2,011 km S 22° W of Malalag (Davao Del Sur),
25 December 2019 - 01:30 AM,6.52,125.33,3,3.5,009 km S 14° W of Sulop (Davao Del Sur),
25 December 2019 - 12:58 AM,10,122.27,10,3.3,030 km N 31° W of Sipalay City (Negros Occidental),
25 December 2019 - 12:55 AM,6.54,126.41,30,2.7,039 km S 73° E of Governor Generoso (Davao Oriental),
25 December 2019 - 12:53 AM,6.8,125.05,12,2.4,012 km S 84° E of Columbio (Sultan Kudarat),
25 December 2019 - 12:48 AM,18.98,121.05,8,3.7,042 km N 04° W of Claveria (Cagayan),
25 December 2019 - 12:39 AM,6.68,125.19,18,2.3,004 km N 45° W of Kiblawan (Davao Del Sur),
25 December 2019 - 12:26 AM,6.65,125.22,12,2.7,001 km S 59° E of Kiblawan (Davao Del Sur),
25 December 2019 - 12:14 AM,6.64,125.25,28,2.4,005 km S 69° E of Kiblawan (Davao Del Sur),
24 December 2019 - 11:56 PM,17.74,119.9,11,3.2,051 km N 69° W of Santa Catalina (Ilocos Sur),
24 December 2019 - 11:42 PM,6.57,125.29,8,2.1,007 km S 62° W of Sulop (Davao Del Sur),
24 December 2019 - 11:35 PM,6.77,125.42,27,2,006 km N 84° E of Digos City (Davao Del Sur),
24 December 2019 - 11:24 PM,6.55,125.22,16,2.5,012 km S 05° E of Kiblawan (Davao Del Sur),
24 December 2019 - 10:54 PM,14.75,121.59,32,1.9,004 km S 81° W of General Nakar (Quezon),
24 December 2019 - 10:35 PM,5.45,125.52,125,3.1,006 km N 74° E of Sarangani (Davao Occidental),
24 December 2019 - 10:25 PM,6.56,125.28,25,2.1,008 km S 55° W of Sulop (Davao Del Sur),
24 December 2019 - 10:22 PM,6.7,125.19,6,3.3,003 km S 67° W of Magsaysay (Davao Del Sur),
24 December 2019 - 09:56 PM,6.62,125.17,1,2.6,006 km S 53° W of Kiblawan (Davao Del Sur),
24 December 2019 - 09:32 PM,8.46,123.52,28,2.3,006 km N 48° E of Mutia (Zamboanga Del Norte),
24 December 2019 - 09:26 PM,6.8,125.04,6,3.1,011 km S 86° E of Columbio (Sultan Kudarat),
24 December 2019 - 09:23 PM,6.67,125.16,21,2.4,006 km N 71° W of Kiblawan (Davao Del Sur),
24 December 2019 - 09:09 PM,6.8,124.96,19,2.7,003 km S 61° E of Columbio (Sultan Kudarat),
24 December 2019 - 08:58 PM,6.88,124.96,28,2.4,008 km S 39° E of M'lang (Cotabato),
24 December 2019 - 08:29 PM,6.74,125.14,5,2.3,010 km S 60° W of Bansalan (Davao Del Sur),
24 December 2019 - 08:27 PM,6.75,125.4,4,2.6,004 km S 58° E of Digos City (Davao Del Sur),
24 December 2019 - 06:52 PM,6.79,125.06,9,2.8,014 km S 79° E of Columbio (Sultan Kudarat),
24 December 2019 - 06:46 PM,6.64,124.89,21,2.7,012 km N 35° W of Lutayan (Sultan Kudarat),
24 December 2019 - 05:52 PM,14.8,122.48,3,1.9,015 km N 52° E of Jomalig (Quezon),
24 December 2019 - 05:14 PM,5.21,126.36,4,3.3,101 km S 76° E of Sarangani (Davao Occidental),
24 December 2019 - 04:29 PM,6.43,125.34,15,2.4,019 km S 02° W of Sulop (Davao Del Sur),
24 December 2019 - 04:07 PM,13.4,120.47,44,3.1,001 km S 11° W of Paluan (Occidental Mindoro),
24 December 2019 - 02:50 PM,16.17,119.82,22,2.1,005 km S 65° W of Bani (Pangasinan),
24 December 2019 - 01:10 PM,6.88,125.05,25,2.3,010 km S 27° W of Makilala (Cotabato),
24 December 2019 - 12:20 PM,6.6,125.25,8,3.6,011 km S 89° W of Sulop (Davao Del Sur),
24 December 2019 - 11:14 AM,6.07,126.34,44,2.6,070 km S 24° E of Governor Generoso (Davao Oriental),
24 December 2019 - 10:34 AM,6.44,125.22,23,2,020 km N 12° W of Malungon (Sarangani),
24 December 2019 - 09:58 AM,6.83,125.06,10,4,012 km N 80° E of Columbio (Sultan Kudarat),
24 December 2019 - 09:46 AM,7.77,125.06,29,2,012 km N 31° E of Don Carlos (Bukidnon),
24 December 2019 - 09:36 AM,6.51,125.15,32,2.1,014 km S 63° E of Lambayong (Mariano Marcos) (Sultan Kudarat),
24 December 2019 - 09:13 AM,6.62,125.21,36,2.1,004 km S 12° W of Kiblawan (Davao Del Sur),
24 December 2019 - 09:06 AM,13.64,120.95,32,1.7,009 km S 79° E of Tingloy (Batangas),
24 December 2019 - 08:56 AM,12.82,121.24,1,2.1,023 km S 80° W of Bansud (Oriental Mindoro),
24 December 2019 - 07:22 AM,6.45,125.11,30,2.1,021 km S 58° E of Lutayan (Sultan Kudarat),
24 December 2019 - 07:13 AM,6.61,124.94,31,2.1,007 km N 15° W of Lutayan (Sultan Kudarat),
24 December 2019 - 05:36 AM,6.43,125.16,31,2.4,021 km N 29° W of Malungon (Sarangani),
24 December 2019 - 04:54 AM,6.41,125.2,43,1.8,017 km N 19° W of Malungon (Sarangani),
24 December 2019 - 04:23 AM,14.75,121.61,32,2,001 km S 54° W of General Nakar (Quezon),
24 December 2019 - 03:57 AM,6.59,125.3,12,2.4,008 km S 54° W of Padada (Davao Del Sur),
24 December 2019 - 03:03 AM,6.58,125.07,27,2.3,005 km N 63° E of Lambayong (Mariano Marcos) (Sultan Kudarat),
24 December 2019 - 02:57 AM,6.64,125.17,16,2.5,006 km S 71° W of Kiblawan (Davao Del Sur),
24 December 2019 - 02:34 AM,13.16,119.89,20,3.1,069 km S 66° W of Paluan (Occidental Mindoro),
24 December 2019 - 02:27 AM,17.29,122.39,31,2,011 km S 62° E of Divilacan (Isabela),
24 December 2019 - 01:27 AM,18.59,120.74,26,2,006 km N 74° W of Pagudpud (Ilocos Norte),
24 December 2019 - 01:20 AM,16.68,122.83,1,2.8,059 km S 45° E of Palanan (Isabela),
24 December 2019 - 12:53 AM,19.28,121.21,34,2.4,026 km S 89° W of Calayan (Cagayan),
24 December 2019 - 12:07 AM,9.97,125.78,42,2.3,021 km N 87° E of Dinagat (Dinagat),
23 December 2019 - 11:57 PM,8.93,126.45,26,2,017 km N 86° E of Cagwait (Surigao Del Sur),
23 December 2019 - 11:43 PM,6.54,125.16,13,2.8,014 km S 27° W of Kiblawan (Davao Del Sur),
23 December 2019 - 11:33 PM,6.55,126.36,44,2.9,033 km S 70° E of Governor Generoso (Davao Oriental),
23 December 2019 - 11:24 PM,10.37,125.13,1,2.7,008 km S 66° W of Hinunangan (Southern Leyte),
23 December 2019 - 10:55 PM,7.5,124.43,27,2.3,007 km S 84° E of Buldon (Maguindanao),
23 December 2019 - 10:25 PM,9.65,126.22,33,1.8,016 km S 27° E of General Luna (Surigao Del Norte),
23 December 2019 - 10:21 PM,9.7,126.21,25,3.1,011 km S 35° E of General Luna (Surigao Del Norte),
23 December 2019 - 10:03 PM,6.62,124.83,25,2.5,011 km S 10° E of Buluan (Maguindanao),
23 December 2019 - 09:38 PM,10.01,122.32,8,2.6,029 km N 20° W of Sipalay City (Negros Occidental),
23 December 2019 - 08:59 PM,9.86,126.11,31,1.8,001 km S 61° E of Pilar (Surigao Del Norte),
23 December 2019 - 08:19 PM,9.87,126.12,29,1.9,002 km N 63° E of Pilar (Surigao Del Norte),
23 December 2019 - 08:17 PM,7.81,125.11,33,2,012 km N 62° E of Maramag (Bukidnon),
23 December 2019 - 07:46 PM,6.7,124.85,31,3.1,006 km S 59° E of Buluan (Maguindanao),
23 December 2019 - 06:51 PM,6.7,124.88,29,2.7,007 km S 34° E of Datu Paglas (Maguindanao),
23 December 2019 - 06:49 PM,6.68,124.94,24,2.9,013 km S 52° E of Datu Paglas (Maguindanao),
23 December 2019 - 06:48 PM,6.76,125.09,4,1.8,014 km S 78° W of Bansalan (Davao Del Sur),
23 December 2019 - 06:48 PM,9.75,124.7,24,1.7,013 km N 89° E of Anda (Bohol),
23 December 2019 - 06:31 PM,7.65,125.02,10,2,001 km S 56° E of Kitaotao (Bukidnon),
23 December 2019 - 06:25 PM,6.32,124.56,74,2.7,011 km N 39° E of Maitum (Sarangani),
23 December 2019 - 03:34 PM,9.46,126,32,1.7,012 km N 31° E of Carrascal (Surigao Del Sur),
23 December 2019 - 03:18 PM,6.75,125.16,6,2.2,007 km S 57° W of Bansalan (Davao Del Sur),
23 December 2019 - 02:50 PM,10,122.07,14,3,045 km N 55° W of Sipalay City (Negros Occidental),
23 December 2019 - 02:31 PM,6.77,125.05,10,2.6,013 km S 68° E of Columbio (Sultan Kudarat),
23 December 2019 - 02:08 PM,9.9,125.6,159,3.3,007 km S 08° E of Dinagat (Dinagat),
23 December 2019 - 01:40 PM,6.49,125.3,32,2,013 km S 22° W of Sulop (Davao Del Sur),
23 December 2019 - 01:38 PM,6.45,125.11,31,3.2,022 km N 55° E of Tupi (South Cotabato),
23 December 2019 - 12:58 PM,13.05,120.57,39,3.2,017 km S 80° W of Santa Cruz (Occidental Mindoro),
23 December 2019 - 12:47 PM,6.75,125.02,18,2.1,010 km S 53° E of Columbio (Sultan Kudarat),
23 December 2019 - 12:34 PM,16.49,120.94,1,3.1,007 km S 70° W of Ambaguio (Nueva Vizcaya),
23 December 2019 - 11:36 AM,6.78,125.19,30,2.2,003 km S 71° W of Bansalan (Davao Del Sur),
23 December 2019 - 11:26 AM,14.83,122.56,3,1.6,023 km N 58° E of Jomalig (Quezon),
23 December 2019 - 11:23 AM,6.66,125.18,15,3,004 km N 80° W of Kiblawan (Davao Del Sur),
23 December 2019 - 11:13 AM,18.02,120.51,19,1.8,003 km S 86° E of Currimao (Ilocos Norte),
23 December 2019 - 10:56 AM,6.5,125.15,26,1.8,022 km S 74° E of Lutayan (Sultan Kudarat),
23 December 2019 - 08:04 AM,13.55,120.43,46,2,016 km N 16° W of Paluan (Occidental Mindoro),
23 December 2019 - 07:52 AM,6.72,125.06,12,2.8,017 km N 85° W of Magsaysay (Davao Del Sur),
23 December 2019 - 07:45 AM,6.73,125.14,7,3,008 km N 78° W of Magsaysay (Davao Del Sur),
23 December 2019 - 07:26 AM,6.61,125.15,4,2.3,009 km S 55° W of Kiblawan (Davao Del Sur),
23 December 2019 - 06:50 AM,6.7,125.14,9,2.1,010 km N 55° W of Kiblawan (Davao Del Sur),
23 December 2019 - 06:43 AM,9.07,123.54,18,1.7,012 km S 57° W of Lazi (Siquijor),
23 December 2019 - 06:31 AM,13.87,120.51,125,2.5,015 km N 72° W of Calatagan (Batangas),
23 December 2019 - 06:27 AM,6.57,125.25,8,3,011 km S 69° W of Sulop (Davao Del Sur),
23 December 2019 - 05:30 AM,9.71,126.51,26,2.3,039 km S 77° E of General Luna (Surigao Del Norte),
23 December 2019 - 05:22 AM,6.78,125.05,11,3.2,017 km S 86° W of Bansalan (Davao Del Sur),
23 December 2019 - 05:01 AM,5.76,126.56,32,2.9,105 km S 82° E of Jose Abad Santos (Davao Occidental),
23 December 2019 - 04:58 AM,6.74,125.11,9,2.6,012 km S 64° W of Bansalan (Davao Del Sur),
23 December 2019 - 04:48 AM,6.77,125.03,10,1.9,020 km S 85° W of Bansalan (Davao Del Sur),
23 December 2019 - 04:45 AM,6.78,125.08,1,3.2,014 km S 86° W of Bansalan (Davao Del Sur),
23 December 2019 - 04:37 AM,6.74,125.04,12,2.4,013 km S 56° E of Columbio (Sultan Kudarat),
23 December 2019 - 04:20 AM,6.62,125.22,26,2.3,004 km S 08° E of Kiblawan (Davao Del Sur),
23 December 2019 - 03:36 AM,6.68,125.2,31,2.1,003 km N 31° W of Kiblawan (Davao Del Sur),
23 December 2019 - 03:28 AM,6.66,125.23,19,3,002 km N 79° E of Kiblawan (Davao Del Sur),
23 December 2019 - 03:23 AM,6.68,125.23,12,2.3,003 km N 26° E of Kiblawan (Davao Del Sur),
23 December 2019 - 03:16 AM,15.43,122.53,9,3.4,081 km N 12° E of Jomalig (Quezon),
23 December 2019 - 03:05 AM,7.64,124.88,3,2.5,006 km N 39° W of Kadingilan (Bukidnon),
23 December 2019 - 03:03 AM,6.46,125.32,34,2,015 km S 09° W of Sulop (Davao Del Sur),
23 December 2019 - 02:51 AM,9.99,125.99,31,1.9,010 km S 68° W of Burgos (Surigao Del Norte),
23 December 2019 - 02:46 AM,6.79,125.07,29,1.8,014 km S 81° E of Columbio (Sultan Kudarat),
23 December 2019 - 02:40 AM,6.75,125.08,12,2.6,015 km N 74° W of Magsaysay (Davao Del Sur),
23 December 2019 - 02:39 AM,9.37,126.22,8,2.6,011 km N 13° E of Cortes (Surigao Del Sur),
23 December 2019 - 02:30 AM,10.89,124.89,32,2.2,008 km N 88° W of La Paz (Leyte),
23 December 2019 - 01:52 AM,9.71,124.82,7,2.7,027 km S 81° E of Anda (Bohol),
23 December 2019 - 01:31 AM,6.66,125.25,10,2.6,004 km N 84° E of Kiblawan (Davao Del Sur),
23 December 2019 - 01:30 AM,9.31,123.19,4,2.3,009 km N 73° W of Luzurriaga (Valencia) (Negros Oriental),
23 December 2019 - 01:17 AM,5.61,126.82,51,3.4,136 km S 77° E of Jose Abad Santos (Davao Occidental),
23 December 2019 - 01:11 AM,6.69,125.14,19,2,008 km S 73° W of Magsaysay (Davao Del Sur),
23 December 2019 - 01:07 AM,5.87,126.85,127,2.9,122 km S 45° E of Governor Generoso (Davao Oriental),
23 December 2019 - 01:00 AM,6.75,125.12,9,2.1,012 km N 66° W of Magsaysay (Davao Del Sur),
23 December 2019 - 12:39 AM,7.72,125.15,34,1.8,005 km S 70° E of Quezon (Bukidnon),
23 December 2019 - 12:27 AM,13.66,120.61,117,2.1,020 km S 08° W of Calatagan (Batangas),
23 December 2019 - 12:26 AM,6.6,125.21,12,2.6,006 km S 02° W of Kiblawan (Davao Del Sur),
23 December 2019 - 12:23 AM,13.76,120.91,8,2.7,003 km N 67° W of Mabini (Batangas),
22 December 2019 - 11:28 PM,6.76,124.86,34,2,011 km S 20° E of Tulunan (Cotabato),
22 December 2019 - 11:22 PM,6.67,125.24,26,1.7,003 km N 62° E of Kiblawan (Davao Del Sur),
22 December 2019 - 11:16 PM,6.66,125.21,13,2.1,001 km North° 00 of Kiblawan (Davao Del Sur),
22 December 2019 - 10:30 PM,6.76,125.08,5,2.3,015 km S 78° W of Bansalan (Davao Del Sur),
22 December 2019 - 09:55 PM,6.63,125.3,13,2.8,006 km N 61° W of Sulop (Davao Del Sur),
22 December 2019 - 08:59 PM,6.68,125.16,28,2.1,007 km S 64° W of Magsaysay (Davao Del Sur),
22 December 2019 - 08:22 PM,6.78,125.06,11,2.8,016 km S 85° W of Bansalan (Davao Del Sur),
22 December 2019 - 08:09 PM,6.55,125.25,69,2.4,013 km S 19° E of Kiblawan (Davao Del Sur),
22 December 2019 - 06:59 PM,6.64,125.14,14,2.2,008 km S 82° W of Kiblawan (Davao Del Sur),
22 December 2019 - 06:44 PM,14.1,119.88,33,2.1,038 km N 45° W of Lubang (Occidental Mindoro),
22 December 2019 - 06:36 PM,18.84,121.2,20,2.7,029 km N 26° E of Claveria (Cagayan),
22 December 2019 - 06:36 PM,6.38,125.19,28,2.4,014 km N 28° W of Malungon (Sarangani),
22 December 2019 - 05:56 PM,6.41,124.98,26,2.4,008 km N 24° E of Tupi (South Cotabato),
22 December 2019 - 05:15 PM,9.85,124.64,22,1.7,014 km N 31° E of Anda (Bohol),
22 December 2019 - 04:46 PM,14.77,122.66,15,2.8,031 km N 79° E of Jomalig (Quezon),
22 December 2019 - 04:06 PM,9.68,124.9,7,3.2,036 km S 79° E of Anda (Bohol),
22 December 2019 - 03:39 PM,6.66,125.23,8,3.6,002 km N 78° E of Kiblawan (Davao Del Sur),
22 December 2019 - 03:22 PM,13.64,120.63,134,1.9,021 km S 01° E of Calatagan (Batangas),
22 December 2019 - 03:05 PM,5.14,125.34,2,3,036 km S 24° W of Sarangani (Davao Occidental),
22 December 2019 - 02:49 PM,14.02,120.98,2,1.5,006 km S 54° E of Laurel (Batangas),
22 December 2019 - 02:37 PM,11.82,125.36,28,2.7,013 km N 57° W of San Julian (Eastern Samar),
22 December 2019 - 01:49 PM,6.53,125.02,25,2.2,008 km S 73° E of Lutayan (Sultan Kudarat),
22 December 2019 - 01:44 PM,6.46,125.25,25,2,019 km S 34° W of Sulop (Davao Del Sur),
22 December 2019 - 01:06 PM,6.68,124.85,21,2.1,007 km S 44° E of Buluan (Maguindanao),
22 December 2019 - 12:41 PM,6.48,125.08,28,2.3,016 km S 62° E of Lutayan (Sultan Kudarat),
22 December 2019 - 12:11 PM,6.54,125.07,29,2.3,013 km S 86° E of Lutayan (Sultan Kudarat),
22 December 2019 - 11:51 AM,9.57,126.34,22,3,031 km S 41° E of General Luna (Surigao Del Norte),
22 December 2019 - 11:41 AM,6.58,124.99,32,2.1,005 km N 53° E of Lutayan (Sultan Kudarat),
22 December 2019 - 11:23 AM,6.66,125.24,9,4.4,003 km N 86° E of Kiblawan (Davao Del Sur),
22 December 2019 - 11:01 AM,6.58,125.15,20,2.3,011 km S 40° W of Kiblawan (Davao Del Sur),
22 December 2019 - 10:30 AM,6.44,125.21,29,3.1,020 km N 15° W of Malungon (Sarangani),
22 December 2019 - 09:55 AM,9.85,124.17,32,2,004 km N 37° W of Carmen (Bohol),
22 December 2019 - 08:58 AM,6.24,125.28,27,2.3,004 km S 49° E of Malungon (Sarangani),
22 December 2019 - 08:38 AM,6.79,125.28,7,2.5,008 km N 30° E of Matanao (Davao Del Sur),
22 December 2019 - 07:53 AM,6.62,124.97,30,2.2,008 km N 12° E of Lutayan (Sultan Kudarat),
22 December 2019 - 07:16 AM,6.19,125.37,35,2.4,016 km S 57° E of Malungon (Sarangani),
22 December 2019 - 06:39 AM,6.54,125.08,27,2.1,014 km S 87° E of Lutayan (Sultan Kudarat),
22 December 2019 - 06:15 AM,6.55,125.08,26,2,014 km N 89° E of Lutayan (Sultan Kudarat),
22 December 2019 - 06:08 AM,6.57,125.27,1,3.2,009 km S 68° W of Sulop (Davao Del Sur),
22 December 2019 - 05:48 AM,6.37,125.23,28,2.3,012 km N 11° W of Malungon (Sarangani),
22 December 2019 - 05:45 AM,6.07,125.52,36,2.5,023 km N 27° W of Jose Abad Santos (Davao Occidental),
22 December 2019 - 05:26 AM,6.4,125.24,34,4.3,015 km N 05° W of Malungon (Sarangani),
22 December 2019 - 05:02 AM,6.62,125.22,34,2.3,004 km S 13° E of Kiblawan (Davao Del Sur),
22 December 2019 - 04:53 AM,9.64,126.25,26,1.6,019 km S 33° E of General Luna (Surigao Del Norte),
22 December 2019 - 04:49 AM,5.81,125.32,15,2.1,014 km S 85° E of Glan (Sarangani),
22 December 2019 - 03:41 AM,6.59,125.19,15,3.1,008 km S 21° W of Kiblawan (Davao Del Sur),
22 December 2019 - 03:15 AM,6.42,125.19,30,3.5,019 km N 23° W of Malungon (Sarangani),
22 December 2019 - 03:05 AM,6.39,125.23,33,2.1,014 km N 11° W of Malungon (Sarangani),
22 December 2019 - 02:42 AM,9.74,124.81,16,2.4,026 km S 88° E of Anda (Bohol),
22 December 2019 - 02:30 AM,7.63,124.9,1,2.6,005 km N 25° W of Kadingilan (Bukidnon),
22 December 2019 - 02:23 AM,6.6,125.01,28,2.5,009 km N 51° E of Lutayan (Sultan Kudarat),
22 December 2019 - 02:10 AM,18.84,121.32,32,1.7,033 km N 16° E of Sanchez-mira (Cagayan),
22 December 2019 - 01:56 AM,7.08,125.37,3,2.7,026 km N 87° W of Davao City (Davao Del Sur),
22 December 2019 - 01:53 AM,6.74,125.06,13,2.5,015 km S 61° E of Columbio (Sultan Kudarat),
22 December 2019 - 01:27 AM,7.11,125.29,21,2.3,019 km S 55° E of Arakan (North Cotabato),
22 December 2019 - 01:13 AM,6.55,124.95,31,3,000 km S 45° W of Lutayan (Sultan Kudarat),
22 December 2019 - 12:54 AM,6.65,124.99,29,2.1,012 km N 22° E of Lutayan (Sultan Kudarat),
22 December 2019 - 12:48 AM,10.25,125.18,3,2.1,002 km S 21° E of Cabalian (San Juan) (Southern Leyte),
22 December 2019 - 12:43 AM,7.21,124.95,29,2.3,012 km N 69° W of Pres.roxas (Cotabato),
22 December 2019 - 12:32 AM,14.07,120.37,97,2.6,028 km S 87° W of Nasugbu (Batangas),
22 December 2019 - 12:28 AM,6.7,124.71,33,1.8,001 km N 74° E of President Quirino (Sultan Kudarat),
22 December 2019 - 12:10 AM,6.63,123.86,29,2.2,022 km N 74° W of Kalamansig (Sultan Kudarat),
22 December 2019 - 12:09 AM,14.79,121.79,11,2.3,016 km N 73° E of Infanta (Quezon),
22 December 2019 - 12:00 AM,6.75,125.09,11,2.5,014 km S 73° W of Bansalan (Davao Del Sur),
21 December 2019 - 11:54 PM,7.03,125.37,1,2.7,026 km S 80° W of Davao City (Davao Del Sur),
21 December 2019 - 11:47 PM,16.57,119.82,30,2.4,021 km N 23° W of Bolinao (Pangasinan),
21 December 2019 - 11:46 PM,6.53,125.29,12,2.4,014 km S 33° W of Padada (Davao Del Sur),
21 December 2019 - 11:16 PM,13.63,120.26,29,2,010 km S 03° E of Looc (Occidental Mindoro),
21 December 2019 - 10:56 PM,6.6,125.18,1,2.3,007 km S 29° W of Kiblawan (Davao Del Sur),
21 December 2019 - 10:45 PM,9.97,122.78,28,2.5,018 km S 89° W of Mabinay (Negros Oriental),
21 December 2019 - 10:26 PM,6.63,125.24,5,2.7,004 km S 42° E of Kiblawan (Davao Del Sur),
21 December 2019 - 09:57 PM,9.5,122.45,22,2.6,009 km S 42° W of Hinoba-an (Negros Occidental),
21 December 2019 - 09:43 PM,14.13,120.43,98,1.8,022 km N 75° W of Nasugbu (Batangas),
21 December 2019 - 09:42 PM,6.55,125.27,25,2.5,010 km S 54° W of Sulop (Davao Del Sur),
21 December 2019 - 09:34 PM,6.56,125.39,33,2.2,004 km S 35° W of Malalag (Davao Del Sur),
21 December 2019 - 09:30 PM,6.5,125.29,21,2.1,013 km S 30° W of Sulop (Davao Del Sur),
21 December 2019 - 09:28 PM,7.2,123.59,33,1.8,034 km S 34° E of Tabina (Zamboanga Del Sur),
21 December 2019 - 09:24 PM,6.5,125.28,20,3.1,013 km S 35° W of Sulop (Davao Del Sur),
21 December 2019 - 08:57 PM,6.8,125.11,11,2.6,011 km N 85° W of Bansalan (Davao Del Sur),
21 December 2019 - 08:37 PM,6.59,125.31,4,3.5,005 km S 73° W of Sulop (Davao Del Sur),
21 December 2019 - 08:35 PM,6.6,125.27,2,2.8,008 km S 89° W of Sulop (Davao Del Sur),
21 December 2019 - 08:31 PM,6.45,125.28,23,2.3,018 km S 24° W of Sulop (Davao Del Sur),
21 December 2019 - 08:22 PM,6.84,125.05,10,2.7,012 km N 74° E of Columbio (Sultan Kudarat),
21 December 2019 - 08:02 PM,14.04,120.41,115,2.1,024 km S 80° W of Nasugbu (Batangas),
21 December 2019 - 07:46 PM,6.43,125.15,33,2,021 km N 31° W of Malungon (Sarangani),
21 December 2019 - 07:42 PM,6.55,125.04,31,2.1,010 km S 87° E of Lutayan (Sultan Kudarat),
21 December 2019 - 07:21 PM,6.63,125.19,14,3.1,004 km S 40° W of Kiblawan (Davao Del Sur),
21 December 2019 - 07:17 PM,9.96,123.28,12,2,009 km S 75° E of Jimalalud (Negros Oriental),
21 December 2019 - 06:44 PM,6.63,125.22,5,4.2,003 km S 09° E of Kiblawan (Davao Del Sur),
21 December 2019 - 06:29 PM,8.88,126.75,10,3.5,049 km S 85° E of Cagwait (Surigao Del Sur),
21 December 2019 - 05:59 PM,6.7,125.12,12,1.8,011 km S 81° W of Magsaysay (Davao Del Sur),
21 December 2019 - 05:52 PM,5.71,126.25,123,2.1,073 km S 75° E of Jose Abad Santos (Davao Occidental),
21 December 2019 - 04:40 PM,6.67,125.2,10,3.1,002 km N 34° W of Kiblawan (Davao Del Sur),
21 December 2019 - 03:34 PM,6.75,124.96,16,2.4,007 km S 18° E of Columbio (Sultan Kudarat),
21 December 2019 - 03:31 PM,6.53,125.26,12,3.2,012 km S 50° W of Sulop (Davao Del Sur),
21 December 2019 - 02:45 PM,6.66,125.13,2,2.9,009 km N 83° W of Kiblawan (Davao Del Sur),
21 December 2019 - 02:43 PM,6.65,125.16,11,2.5,006 km S 83° W of Kiblawan (Davao Del Sur),
21 December 2019 - 01:55 PM,6.65,125.12,27,2.6,012 km S 57° W of Magsaysay (Davao Del Sur),
21 December 2019 - 01:24 PM,13.66,120.95,8,2.1,008 km N 87° E of Tingloy (Batangas),
21 December 2019 - 12:59 PM,6.6,125.15,5,3.5,017 km S 36° W of Matanao (Davao Del Sur),
21 December 2019 - 12:51 PM,6.57,125.16,1,3.7,011 km S 32° W of Kiblawan (Davao Del Sur),
21 December 2019 - 11:28 AM,14.03,120.46,197,3,029 km N 39° W of Calatagan (Batangas),
21 December 2019 - 11:23 AM,6.63,125.12,1,2.9,010 km S 73° W of Kiblawan (Davao Del Sur),
21 December 2019 - 10:33 AM,15.38,121.77,102,2,039 km S 86° E of Dingalan (Aurora),
21 December 2019 - 10:28 AM,6.74,125.06,10,2.3,015 km S 60° E of Columbio (Sultan Kudarat),
21 December 2019 - 10:26 AM,8.86,126.77,21,2.9,052 km S 83° E of Cagwait (Surigao Del Sur),
21 December 2019 - 10:02 AM,8.77,126.39,20,2.1,025 km S 29° E of Bayabas (Surigao Del Sur),
21 December 2019 - 09:22 AM,6.62,125.18,17,2.3,006 km S 47° W of Kiblawan (Davao Del Sur),
