Date - Time,Lat,Long,Depth,Mag,Location,
30 December 2019 - 07:30 AM,18.35,121.01,12,2.4,017 km S 39° E of Adams (Ilocos Norte),
30 December 2019 - 07:21 AM,6.49,126.37,26,3.1,037 km S 62° E of Governor Generoso (Davao Oriental),
30 December 2019 - 06:26 AM,6.44,124.91,32,2.4,010 km S 43° E of Koronadal City (South Cotabato),
30 December 2019 - 05:51 AM,16.56,122.45,14,2.9,021 km N 78° E of Dinapigue (Isabela),
30 December 2019 - 05:01 AM,16.92,121.6,9,3.5,008 km S 61° W of Cabatuan (Isabela),
30 December 2019 - 04:45 AM,13.72,120.45,51,3.2,022 km S 89° E of Looc (Occidental Mindoro),
30 December 2019 - 04:04 AM,6.86,125.04,31,1.5,012 km S 25° W of Makilala (Cotabato),
30 December 2019 - 03:17 AM,6.76,125.12,12,3.2,011 km S 72° W of Bansalan (Davao Del Sur),
30 December 2019 - 03:15 AM,16.56,122.47,12,2.8,023 km N 81° E of Dinapigue (Isabela),
30 December 2019 - 03:14 AM,6.6,125.27,28,2,008 km N 87° W of Sulop (Davao Del Sur),
30 December 2019 - 02:53 AM,7.61,124.9,1,2.6,003 km N 52° W of Kadingilan (Bukidnon),
30 December 2019 - 02:12 AM,11.04,125.39,86,2.3,007 km South° 00 of Balangiga (Eastern Samar),
30 December 2019 - 01:13 AM,6.58,125.22,20,2.2,008 km S 01° E of Kiblawan (Davao Del Sur),
30 December 2019 - 12:51 AM,6.47,125.32,24,2.5,015 km S 09° W of Sulop (Davao Del Sur),
30 December 2019 - 12:14 AM,6.62,125.29,1,2.5,006 km N 67° W of Sulop (Davao Del Sur),
30 December 2019 - 12:13 AM,10.07,126.18,21,2.2,013 km N 62° E of Burgos (Surigao Del Norte),
29 December 2019 - 11:39 PM,6.85,125.25,21,2.4,008 km N 27° E of Bansalan (Davao Del Sur),
29 December 2019 - 11:37 PM,18.78,120.92,12,2.7,026 km N 42° W of Claveria (Cagayan),
29 December 2019 - 11:25 PM,6.59,125.17,20,2.6,008 km S 34° W of Kiblawan (Davao Del Sur),
29 December 2019 - 10:46 PM,15.15,119.89,24,2.7,017 km S 86° W of Cabangan (Zambales),
