Date - Time,Lat,Long,Depth,Mag,Location
31 May 2019 - 11:18 PM,13.29,122.62,1,2.9,008 km S 63° W of San Andres (Quezon)
31 May 2019 - 11:16 PM,8.67,126.69,20,2.5,045 km S 72° E of Marihatag (Surigao Del Sur)
31 May 2019 - 10:57 PM,6.16,126.66,69,2.3,084 km S 50° E of Governor Generoso (Davao Oriental)
31 May 2019 - 10:55 PM,6.83,126.02,25,2.4,007 km S 74° W of San Isidro (Davao Oriental)
31 May 2019 - 10:51 PM,6.21,126.65,64,1.9,080 km S 53° E of Governor Generoso (Davao Oriental)
31 May 2019 - 09:48 PM,12.98,124.37,32,1.9,021 km S 66° E of Prieto Diaz (Sorsogon)
31 May 2019 - 09:22 PM,6.09,126.87,33,2,107 km S 55° E of Governor Generoso (Davao Oriental)
31 May 2019 - 09:00 PM,6.2,126.65,73,3.5,081 km S 52° E of Governor Generoso (Davao Oriental)
31 May 2019 - 08:59 PM,6.07,126.84,26,2.7,106 km S 53° E of Governor Generoso (Davao Oriental)
31 May 2019 - 08:26 PM,6.24,126.62,71,2.3,076 km S 53° E of Governor Generoso (Davao Oriental)
31 May 2019 - 08:03 PM,6.04,126.78,64,2.7,103 km S 49° E of Governor Generoso (Davao Oriental)
31 May 2019 - 07:52 PM,6.14,126.4,45,2.3,067 km S 32° E of Governor Generoso (Davao Oriental)
31 May 2019 - 07:47 PM,10.23,126.22,13,2.6,028 km N 35° E of Burgos (Surigao Del Norte)
31 May 2019 - 07:15 PM,6.36,126.72,24,2,079 km S 65° E of Governor Generoso (Davao Oriental)
31 May 2019 - 07:03 PM,6.06,126.64,43,2.6,090 km S 44° E of Governor Generoso (Davao Oriental)
31 May 2019 - 06:59 PM,6.25,126.6,32,2.3,073 km S 53° E of Governor Generoso (Davao Oriental)
31 May 2019 - 06:55 PM,6.13,126.67,55,2.9,088 km S 49° E of Governor Generoso (Davao Oriental)
31 May 2019 - 06:40 PM,6.13,126.71,39,3.2,091 km S 50° E of Governor Generoso (Davao Oriental)
31 May 2019 - 06:12 PM,6.15,126.7,78,6.2,088 km S 51° E of Governor Generoso (Davao Oriental)
31 May 2019 - 06:08 PM,8.72,126.49,34,2.2,023 km S 66° E of Marihatag (Surigao Del Sur)
31 May 2019 - 04:48 PM,9.69,126.15,33,1.8,011 km S 04° E of General Luna (Surigao Del Norte)
31 May 2019 - 04:31 PM,6.22,125.58,21,3.2,013 km N 81° W of Don Marcelino (Davao Occidental)
31 May 2019 - 01:54 PM,9.88,122.61,63,2.3,008 km N 11° E of Candoni (Negros Occidental)
31 May 2019 - 01:15 PM,17.23,119.99,11,2.4,049 km S 76° W of San Esteban (Ilocos Sur)
31 May 2019 - 12:06 PM,9.31,126.42,18,2.3,025 km N 83° E of Cortes (Surigao Del Sur)
31 May 2019 - 11:11 AM,9.63,126.18,27,2.4,017 km S 10° E of General Luna (Surigao Del Norte)
31 May 2019 - 08:20 AM,14.92,120.22,32,2.2,002 km S 65° E of Castillejos (Zambales)
31 May 2019 - 08:09 AM,12.61,125.75,34,3.5,055 km N 63° E of Gamay (Northern Samar)
31 May 2019 - 07:46 AM,4.9,126,1,2.8,086 km S 46° E of Sarangani (Davao Occidental)
31 May 2019 - 06:39 AM,7.72,127.18,5,3,070 km N 77° E of Baganga (Davao Oriental)
31 May 2019 - 05:23 AM,8.4,126.28,126,2,007 km N 57° W of Hinatuan (Surigao Del Sur)
31 May 2019 - 04:44 AM,13.69,120.61,124,2.2,015 km S 09° W of Calatagan (Batangas)
31 May 2019 - 03:53 AM,10.25,126.04,24,2.3,025 km N 08° W of Burgos (Surigao Del Norte)
31 May 2019 - 03:46 AM,15.65,119.84,34,1.3,010 km N 77° W of Candelaria (Zambales)
31 May 2019 - 03:17 AM,9.59,126.15,10,1.9,022 km S 01° W of General Luna (Surigao Del Norte)
31 May 2019 - 03:05 AM,6.39,126.97,63,3,103 km S 74° E of Governor Generoso (Davao Oriental)
31 May 2019 - 02:55 AM,15,120.39,30,2.3,022 km N 70° E of Castillejos (Zambales)
31 May 2019 - 12:03 AM,5.72,126.94,13,3.2,140 km S 43° E of Governor Generoso (Davao Oriental)
30 May 2019 - 11:53 PM,16.91,121.36,17,3.1,006 km S 24° W of Aguinaldo (Ifugao)
30 May 2019 - 10:48 PM,6.07,126.04,156,3.3,041 km S 69° E of Don Marcelino (Davao Occidental)
30 May 2019 - 10:20 PM,18.38,120.6,48,2.4,016 km S 17° W of Burgos (Ilocos Norte)
30 May 2019 - 09:35 PM,8.92,127.2,17,2.7,099 km S 90° E of Cagwait (Surigao Del Sur)
30 May 2019 - 06:45 PM,6.16,125.34,90,2.4,010 km N 45° E of Alabel (Sarangani)
30 May 2019 - 06:32 PM,18.23,121.16,94,2.3,014 km S 75° E of Bayag (Calanasan) (Apayao)
30 May 2019 - 06:31 PM,8.96,126.52,28,2.1,025 km N 81° E of Cagwait (Surigao Del Sur)
30 May 2019 - 05:56 PM,15.81,120.9,26,2.1,008 km S 01° E of Lupao (Nueva Ecija)
30 May 2019 - 04:20 PM,9.85,124.3,32,2,016 km S 70° W of Alicia (Bohol)
30 May 2019 - 03:31 PM,5.8,126.33,109,2.4,098 km S 17° E of Governor Generoso (Davao Oriental)
30 May 2019 - 03:14 PM,12.97,124.42,32,2.6,027 km S 69° E of Prieto Diaz (Sorsogon)
30 May 2019 - 01:33 PM,20.05,121.92,68,2,032 km S 09° E of Sabtang (Batanes)
30 May 2019 - 09:39 AM,13.83,120.48,83,2.4,016 km N 89° W of Calatagan (Batangas)
30 May 2019 - 05:47 AM,15.61,119.91,32,1.7,003 km S 46° W of Candelaria (Zambales)
30 May 2019 - 05:23 AM,6.39,126.3,116,2.7,038 km S 40° E of Governor Generoso (Davao Oriental)
30 May 2019 - 03:15 AM,13.55,125.48,36,4,118 km N 20° E of Palapag (Northern Samar)
30 May 2019 - 02:54 AM,4.67,126.56,10,3.5,147 km S 55° E of Sarangani (Davao Occidental)
30 May 2019 - 02:15 AM,11.87,125.35,64,3.4,009 km S 61° W of Taft (Eastern Samar)
30 May 2019 - 01:41 AM,9.24,125.65,24,2.4,011 km S 74° E of Santiago (Agusan Del Norte)
29 May 2019 - 11:47 PM,16.31,122.25,18,2.4,010 km S 23° E of Dilasag (Aurora)
