Date - Time,Lat,Long,Depth,Mag,Location
30 June 2021 - 11:55 PM,19.87,121.55,14,3,054 km N 44° W of Babuyan Island (Calayan) (Cagayan)
30 June 2021 - 11:51 PM,8.98,126.07,21,3.9,005 km N 44° E of San Miguel (Surigao Del Sur)
30 June 2021 - 10:28 PM,8.05,126.6,33,2.3,020 km N 85° E of Lingig (Surigao Del Sur)
30 June 2021 - 09:32 PM,17.72,119.66,2,3.4,077 km N 79° W of Santa Catalina (Ilocos Sur)
30 June 2021 - 08:43 PM,8.61,125.53,31,2.4,014 km S 59° W of Esperanza (Agusan Del Sur)
30 June 2021 - 08:26 PM,9.62,122.61,23,2.7,016 km N 82° E of Hinoba-an (Negros Occidental)
30 June 2021 - 08:24 PM,7.36,127.2,37,3.7,070 km N 87° E of Caraga (Davao Oriental)
30 June 2021 - 06:45 PM,6.43,127.36,26,2.4,121 km S 56° E of Tarragona (Davao Oriental)
30 June 2021 - 06:45 PM,17.57,120.01,1,2.9,040 km N 86° W of Caoayan (Ilocos Sur)
30 June 2021 - 05:58 PM,9.54,126.52,27,4.5,046 km N 51° E of Cortes (Surigao Del Sur)
30 June 2021 - 05:39 PM,6.37,126.85,34,2.5,092 km S 70° E of Governor Generoso (Davao Oriental)
30 June 2021 - 05:37 PM,10.25,124.89,1,3.1,012 km S 72° E of Matalom (Leyte)
30 June 2021 - 05:33 PM,12.55,125.05,29,2.3,005 km S 65° E of Laoang (Northern Samar)
30 June 2021 - 05:15 PM,20.06,121.89,11,3,030 km S 03° E of Sabtang (Batanes)
30 June 2021 - 03:51 PM,13.66,120.57,121,2.9,021 km S 20° W of Calatagan (Batangas)
30 June 2021 - 03:28 PM,9.98,125.81,77,2.5,017 km N 67° E of Cagdianao (Dinagat Islands)
30 June 2021 - 08:50 AM,12.58,123.62,1,2.7,023 km S 01° E of City Of Masbate (Masbate)
30 June 2021 - 07:36 AM,4.02,125.75,189,4.7,159 km S 13° E of Sarangani (Davao Occidental)
30 June 2021 - 07:04 AM,8.66,126.56,28,2.6,032 km S 62° E of Marihatag (Surigao Del Sur)
30 June 2021 - 07:00 AM,15.43,119.94,28,2.1,003 km N 88° E of Palauig (Zambales)
30 June 2021 - 06:58 AM,9.77,126.47,27,3.2,035 km S 89° E of General Luna (Surigao Del Norte)
