Date - Time,Lat,Long,Depth,Mag,Location
31 July 2021 - 08:58 PM,4.91,126.34,54,3.5,116 km S 61° E of Sarangani (Davao Occidental)
31 July 2021 - 08:47 PM,6.01,126.17,154,3.3,057 km S 68° E of Don Marcelino (Davao Occidental)
31 July 2021 - 08:00 PM,7.14,126.73,26,2.2,022 km S 69° E of Manay (Davao Oriental)
31 July 2021 - 07:27 PM,7.62,127.38,31,2.6,091 km N 87° E of Baganga (Davao Oriental)
31 July 2021 - 07:08 PM,9.89,126.44,54,2.2,033 km N 69° E of General Luna (Surigao Del Norte)
31 July 2021 - 07:05 PM,6.98,126.63,8,2.5,022 km S 68° E of Tarragona (Davao Oriental)
31 July 2021 - 07:02 PM,9.93,126.28,1,2.6,025 km S 67° E of Burgos (Surigao Del Norte)
31 July 2021 - 06:47 PM,11.37,125.53,22,3.8,005 km S 22° W of Llorente (Eastern Samar)
31 July 2021 - 04:38 PM,9.14,127.24,1,2.9,107 km N 80° E of Bayabas (Surigao Del Sur)
31 July 2021 - 01:31 PM,11.48,124.45,1,2.5,004 km N 39° E of Calubian (Leyte)
31 July 2021 - 01:28 PM,10.05,126.26,1,2.2,021 km N 81° E of Burgos (Surigao Del Norte)
31 July 2021 - 12:28 PM,10.12,126.48,2,3,046 km N 76° E of Burgos (Surigao Del Norte)
31 July 2021 - 11:27 AM,13.68,120.73,122,2,021 km S 32° E of Calatagan (Batangas)
31 July 2021 - 10:58 AM,13.22,123.58,10,3.1,005 km S 63° E of City Of Ligao (Albay)
31 July 2021 - 09:31 AM,13.68,120.64,97,1.8,017 km S 04° E of Calatagan (Batangas)
31 July 2021 - 08:42 AM,7.65,126.85,7,3.4,032 km N 74° E of Baganga (Davao Oriental)
31 July 2021 - 08:25 AM,13.58,120.76,9,1.9,016 km N 15° E of Abra De Ilog (Occidental Mindoro)
31 July 2021 - 07:08 AM,13.84,120.57,94,2,007 km N 80° W of Calatagan (Batangas)
31 July 2021 - 06:35 AM,13.78,120.61,99,1.6,007 km S 28° W of Calatagan (Batangas)
31 July 2021 - 06:30 AM,6.56,126.22,1,2.4,020 km S 56° E of Governor Generoso (Davao Oriental)
31 July 2021 - 06:11 AM,7.37,125.55,7,2.5,017 km N 55° W of City Of Panabo (Davao Del Norte)
31 July 2021 - 05:02 AM,5.44,126.82,184,3.5,140 km S 68° E of Jose Abad Santos (Davao Occidental)
31 July 2021 - 04:58 AM,7.69,124.75,1,2.4,006 km S 04° E of Kalilangan (Bukidnon)
31 July 2021 - 04:32 AM,9.06,125.98,19,2.1,021 km S 85° W of City Of Tandag (Surigao Del Sur)
31 July 2021 - 03:51 AM,7.87,126.24,20,2,015 km N 87° W of Boston (Davao Oriental)
31 July 2021 - 03:28 AM,8.88,122.75,20,2.2,037 km S 57° W of Siaton (Negros Oriental)
31 July 2021 - 03:08 AM,11.63,124.32,15,2.2,007 km N 84° W of Almeria (Biliran)
31 July 2021 - 03:04 AM,6.18,126.3,121,3.1,058 km S 26° E of Governor Generoso (Davao Oriental)
31 July 2021 - 02:52 AM,19.1,121.4,18,2.7,021 km S 87° E of Dalupiri Island (Calayan) (Cagayan)
31 July 2021 - 02:43 AM,13.69,120.67,92,2,016 km S 15° E of Calatagan (Batangas)
31 July 2021 - 02:07 AM,10.05,126.09,33,1.7,003 km N 29° E of Burgos (Surigao Del Norte)
31 July 2021 - 01:52 AM,3.69,127.53,181,4.9,302 km S 51° E of Sarangani (Davao Occidental)
31 July 2021 - 01:47 AM,7.33,126.53,23,2.1,004 km S 88° W of Caraga (Davao Oriental)
31 July 2021 - 01:43 AM,10.14,125.69,31,2,013 km N 52° E of Basilisa (Dinagat Islands)
31 July 2021 - 01:11 AM,13.62,120.58,91,2.5,024 km S 14° W of Calatagan (Batangas)
31 July 2021 - 12:55 AM,16.34,121.13,34,2,011 km N 64° E of Aritao (Nueva Vizcaya)
31 July 2021 - 12:53 AM,8.79,125.82,25,1.9,012 km N 43° E of City Of Bayugan (Agusan Del Sur)
31 July 2021 - 12:47 AM,16.95,122.69,16,2.5,030 km S 66° E of Palanan (Isabela)
31 July 2021 - 12:38 AM,11.09,126.08,26,2.1,040 km N 82° E of Guiuan (Eastern Samar)
31 July 2021 - 12:34 AM,6.49,125.83,147,2,035 km S 57° W of Governor Generoso (Davao Oriental)
31 July 2021 - 12:32 AM,11.12,126.18,32,3.2,051 km N 79° E of Guiuan (Eastern Samar)
31 July 2021 - 12:30 AM,11.63,124.33,10,2.3,005 km N 81° W of Almeria (Biliran)
31 July 2021 - 12:28 AM,13.75,120.6,92,1.8,010 km S 20° W of Calatagan (Batangas)
30 July 2021 - 11:20 PM,18.71,121,27,2.3,015 km N 37° W of Claveria (Cagayan)
