Date - Time,Lat,Long,Depth,Mag,Location
30 April 2021 - 10:12 PM,18.98,121.04,7,2.3,022 km S 50° W of Dalupiri Island (Calayan) (Cagayan)
30 April 2021 - 08:02 PM,8.77,126.61,18,2.6,034 km S 84° E of Marihatag (Surigao Del Sur)
30 April 2021 - 08:02 PM,7,125.08,24,1.9,004 km N 07° W of Makilala (Cotabato)
30 April 2021 - 06:03 PM,6.33,125.81,143,3.1,020 km N 39° E of Don Marcelino (Davao Occidental)
30 April 2021 - 05:59 PM,13.58,121.24,15,2.2,008 km S 24° E of Lobo (Batangas)
30 April 2021 - 04:29 PM,16.56,120.9,14,2.1,009 km S 41° E of Kabayan (Benguet)
30 April 2021 - 01:41 PM,18.35,121.17,43,2,019 km N 84° W of Luna (Apayao)
30 April 2021 - 01:35 PM,9.9,122.44,16,2.1,014 km N 04° E of City Of Sipalay (Negros Occidental)
30 April 2021 - 01:17 PM,15.02,119.69,1,2.2,042 km S 84° W of San Felipe (Zambales)
30 April 2021 - 12:38 PM,8.3,125.92,9,2.2,013 km S 44° W of Rosario (Agusan Del Sur)
30 April 2021 - 12:08 PM,16.12,120.85,12,1.7,011 km S 66° W of Santa Fe (Nueva Vizcaya)
30 April 2021 - 09:59 AM,10.62,125.33,1,2.2,021 km N 61° E of Silago (Southern Leyte)
30 April 2021 - 09:56 AM,6.92,126,29,2.3,003 km N 22° W of Lupon (Davao Oriental)
30 April 2021 - 08:13 AM,9.78,124.23,30,2.5,006 km S 34° E of Carmen (Bohol)
30 April 2021 - 07:11 AM,10.33,125.27,1,3.2,003 km S 27° E of Hinundayan (Southern Leyte)
30 April 2021 - 06:34 AM,10.14,126.12,33,2,014 km N 19° E of Burgos (Surigao Del Norte)
30 April 2021 - 05:42 AM,15.42,120.43,25,2.6,007 km S 33° W of San Jose (Tarlac)
30 April 2021 - 04:55 AM,17.12,122.46,32,3.1,007 km N 27° E of Palanan (Isabela)
30 April 2021 - 04:41 AM,8.74,126.57,30,2.4,031 km S 77° E of Marihatag (Surigao Del Sur)
30 April 2021 - 04:24 AM,6,126.04,133,2.4,043 km S 60° E of Don Marcelino (Davao Occidental)
30 April 2021 - 03:51 AM,20.28,120.33,1,2.6,162 km S 88° W of Sabtang (Batanes)
30 April 2021 - 03:36 AM,10.07,125.85,33,2,025 km N 77° W of Burgos (Surigao Del Norte)
30 April 2021 - 03:11 AM,7.76,125.99,31,2.2,010 km S 43° W of Monkayo (Davao De Oro)
30 April 2021 - 02:34 AM,8.36,126.2,35,2.4,015 km S 89° W of Hinatuan (Surigao Del Sur)
30 April 2021 - 02:24 AM,13.56,120.47,47,2.9,016 km N 03° E of Paluan (Occidental Mindoro)
30 April 2021 - 02:11 AM,16.5,120.74,32,2,009 km N 82° W of Bokod (Benguet)
30 April 2021 - 02:09 AM,13.62,120.64,138,1.7,023 km S 01° E of Calatagan (Batangas)
30 April 2021 - 01:45 AM,6.16,126.9,15,2.9,111 km S 27° E of Tarragona (Davao Oriental)
30 April 2021 - 01:40 AM,21.91,121.92,41,3.9,124 km N 04° E of Itbayat (Batanes)
30 April 2021 - 01:17 AM,21.83,121.62,1,3.8,118 km N 11° W of Itbayat (Batanes)
30 April 2021 - 12:42 AM,6.52,123.82,1,3,026 km S 81° W of Kalamansig (Sultan Kudarat)
30 April 2021 - 12:16 AM,7.27,124.54,1,2.6,009 km N 08° E of Midsayap (Cotabato)
30 April 2021 - 12:07 AM,10.08,122.64,78,2.7,012 km N 10° E of Cauayan (Negros Occidental)
29 April 2021 - 11:37 PM,14.12,120.42,117,1.5,023 km N 77° W of Nasugbu (Batangas)
29 April 2021 - 11:37 PM,21.83,121.84,25,3.8,115 km N 01° W of Itbayat (Batanes)
29 April 2021 - 11:05 PM,21.5,121.74,2,3.8,080 km N 08° W of Itbayat (Batanes)
29 April 2021 - 11:05 PM,7.72,124.65,2,2.3,011 km S 81° W of Kalilangan (Bukidnon)
29 April 2021 - 10:41 PM,18.05,122.32,41,2.2,055 km S 55° E of Gonzaga (Cagayan)
29 April 2021 - 10:35 PM,21.55,121.68,1,3.9,086 km N 11° W of Itbayat (Batanes)
29 April 2021 - 10:33 PM,21.46,121.69,1,4.7,076 km N 12° W of Itbayat (Batanes)
29 April 2021 - 09:18 PM,4.95,125.92,97,3.1,076 km S 47° E of Sarangani (Davao Occidental)
29 April 2021 - 09:17 PM,8.42,126.88,32,2.1,034 km N 73° E of Hinatuan (Surigao Del Sur)
29 April 2021 - 08:20 PM,9.72,122.64,79,2,012 km S 01° E of Candoni (Negros Occidental)
29 April 2021 - 03:59 PM,5.49,125.31,22,2.6,015 km N 57° W of Sarangani (Davao Occidental)
29 April 2021 - 03:21 PM,20.88,121.32,9,3.1,055 km N 80° W of Itbayat (Batanes)
29 April 2021 - 02:47 PM,16.22,119.76,36,2,012 km N 22° W of Agno (Pangasinan)
29 April 2021 - 01:09 PM,9.55,122.5,19,2.2,007 km S 42° E of Hinoba-an (Negros Occidental)
29 April 2021 - 01:06 PM,9.26,123.18,6,2.1,012 km N 52° W of Dauin (Negros Oriental)
29 April 2021 - 12:40 PM,6.04,125.14,29,1.9,025 km N 40° E of Maasim (Sarangani)
29 April 2021 - 12:34 PM,13.83,120.27,31,1.5,012 km N 08° E of Looc (Occidental Mindoro)
29 April 2021 - 11:52 AM,16.52,120.98,11,1.9,005 km S 75° W of Ambaguio (Nueva Vizcaya)
29 April 2021 - 11:41 AM,8.39,127.19,25,2.8,094 km N 89° E of Hinatuan (Surigao Del Sur)
29 April 2021 - 10:22 AM,10.77,122.92,13,2.4,007 km N 68° W of City Of Talisay (Negros Occidental)
29 April 2021 - 09:05 AM,9.73,126.17,22,2.8,006 km S 19° E of General Luna (Surigao Del Norte)
29 April 2021 - 08:54 AM,2.26,126.28,25,4.8,362 km S 15° E of Sarangani (Davao Occidental)
29 April 2021 - 07:13 AM,9.54,125.67,30,1.7,008 km S 60° W of Claver (Surigao Del Norte)
29 April 2021 - 07:12 AM,16.14,121.82,35,1.5,015 km S 90° W of Dinalungan (Aurora)
29 April 2021 - 06:02 AM,10.42,126.08,24,2.3,044 km N 01° E of Burgos (Surigao Del Norte)
29 April 2021 - 03:26 AM,11.72,124.16,9,2.7,013 km S 83° E of Esperanza (Masbate)
29 April 2021 - 03:06 AM,8.45,126.81,21,3.1,053 km N 80° E of Hinatuan (Surigao Del Sur)
29 April 2021 - 02:39 AM,16.08,119.83,32,2.1,005 km S 42° E of Agno (Pangasinan)
29 April 2021 - 02:32 AM,15.2,120.31,29,1.8,028 km S 81° W of Mabalacat City (Pampanga)
29 April 2021 - 01:58 AM,17.81,120,12,3.1,049 km S 83° W of Sinait (Ilocos Sur)
29 April 2021 - 01:56 AM,5.19,125.37,11,3.2,026 km S 14° W of Sarangani (Davao Occidental)
29 April 2021 - 01:31 AM,9.85,126.13,14,3.1,008 km N 23° W of General Luna (Surigao Del Norte)
29 April 2021 - 01:27 AM,18.06,120.35,30,2.5,016 km N 74° W of Currimao (Ilocos Norte)
29 April 2021 - 01:23 AM,17.93,119.81,16,2.9,069 km N 84° W of Sinait (Ilocos Sur)
29 April 2021 - 01:12 AM,10.01,124.17,5,2.3,009 km N 41° W of Danao (Bohol)
29 April 2021 - 01:02 AM,17.98,120.12,21,3.3,038 km N 71° W of Sinait (Ilocos Sur)
29 April 2021 - 12:56 AM,10.68,122.82,11,2.2,019 km S 84° E of Buenavista (Guimaras)
29 April 2021 - 12:10 AM,13.05,118.75,33,2.8,173 km S 59° W of Lubang (Occidental Mindoro)
28 April 2021 - 10:16 PM,15.42,119.84,43,2.5,008 km S 80° W of Palauig (Zambales)
28 April 2021 - 09:38 PM,9.93,126.09,10,2.8,010 km S 12° E of Burgos (Surigao Del Norte)
28 April 2021 - 09:18 PM,10.45,125.28,20,2.5,011 km N 15° E of Hinundayan (Southern Leyte)
28 April 2021 - 09:14 PM,5.71,126.73,3,2.6,122 km S 79° E of Jose Abad Santos (Davao Occidental)
28 April 2021 - 09:13 PM,10.37,125.35,22,2.3,011 km N 82° E of Hinundayan (Southern Leyte)
28 April 2021 - 05:36 PM,7.42,124.62,10,3,012 km S 43° W of Banisilan (Cotabato)
28 April 2021 - 04:01 PM,8.83,126.42,33,1.9,014 km N 75° E of Marihatag (Surigao Del Sur)
