Date - Time,Lat,Long,Depth,Mag,Location
29 August 2021 - 07:24 PM,13.55,121.11,32,1.6,018 km N 74° E of Puerto Galera (Oriental Mindoro)
29 August 2021 - 05:44 PM,12.87,124.86,13,4,037 km N 26° W of Laoang (Northern Samar)
29 August 2021 - 04:31 PM,13.69,120.56,104,2.3,018 km S 26° W of Calatagan (Batangas)
29 August 2021 - 02:52 PM,5.78,127.59,9,4.1,189 km S 42° E of Tarragona (Davao Oriental)
29 August 2021 - 02:23 PM,13.73,120.23,30,2,002 km N 62° W of Looc (Occidental Mindoro)
29 August 2021 - 12:36 PM,12.37,124.38,29,3.2,006 km S 73° E of San Isidro (Northern Samar)
29 August 2021 - 09:40 AM,15.8,121.61,18,2.4,007 km N 45° E of Baler (Aurora)
29 August 2021 - 08:58 AM,11.64,125.24,30,2.4,021 km N 80° W of City Of Borongan (Eastern Samar)
29 August 2021 - 08:56 AM,14.47,124.2,1,3.2,047 km N 03° E of Pandan (Catanduanes)
29 August 2021 - 06:56 AM,6.15,126.88,45,3.8,105 km S 58° E of Governor Generoso (Davao Oriental)
29 August 2021 - 06:07 AM,17.73,120.46,23,2.4,001 km S 05° W of San Juan (Ilocos Sur)
29 August 2021 - 05:41 AM,15.25,122.07,26,2.1,045 km N 38° E of Panukulan (Quezon)
29 August 2021 - 05:05 AM,11.17,124.49,10,2.2,003 km N 30° E of Matag-ob (Leyte)
29 August 2021 - 03:25 AM,4.86,127.68,55,3.4,249 km S 64° E of Jose Abad Santos (Davao Occidental)
29 August 2021 - 03:17 AM,5.93,126.75,13,3.9,110 km S 43° E of Governor Generoso (Davao Oriental)
29 August 2021 - 02:53 AM,13.82,120.39,191,2.2,027 km S 88° W of Calatagan (Batangas)
29 August 2021 - 02:27 AM,9.03,123.41,13,2.7,026 km S 67° W of Lazi (Siquijor)
29 August 2021 - 01:50 AM,16.22,119.87,31,1.5,014 km N 33° E of Agno (Pangasinan)
29 August 2021 - 01:42 AM,9.1,126.31,25,2.8,014 km N 13° E of Bayabas (Surigao Del Sur)
29 August 2021 - 12:10 AM,13.8,120.64,3,1.9,004 km S 08° E of Calatagan (Batangas)
29 August 2021 - 12:06 AM,8.73,122.63,60,2.8,057 km S 50° W of Siaton (Negros Oriental)
28 August 2021 - 11:18 PM,13.53,120.58,86,1.8,018 km N 44° E of Paluan (Occidental Mindoro)
28 August 2021 - 10:57 PM,16.41,120.79,13,1.6,013 km N 64° E of Itogon (Benguet)
28 August 2021 - 10:50 PM,10.37,122.54,1,2.1,017 km S 01° W of Nueva Valencia (Guimaras)
28 August 2021 - 10:00 PM,15.67,119.36,11,2.3,065 km N 66° W of Palauig (Zambales)
28 August 2021 - 09:50 PM,16.25,122.12,12,2.1,003 km S 14° W of Casiguran (Aurora)
28 August 2021 - 09:48 PM,19.58,121.44,4,3.1,050 km N 82° W of Babuyan Island (Calayan) (Cagayan)
28 August 2021 - 08:31 PM,9.5,122.16,12,2,036 km S 71° W of Hinoba-an (Negros Occidental)
28 August 2021 - 08:21 PM,9.38,122.05,15,2.9,052 km S 62° W of Hinoba-an (Negros Occidental)
28 August 2021 - 07:24 PM,7,127.96,60,4.5,158 km S 81° E of Manay (Davao Oriental)
28 August 2021 - 06:26 PM,17.56,120.89,3,1.8,018 km N 81° E of Bucay (Abra)
28 August 2021 - 06:20 PM,15.22,122.03,4,1.6,039 km N 36° E of Panukulan (Quezon)
28 August 2021 - 05:50 PM,13.72,120.61,100,2,013 km S 11° W of Calatagan (Batangas)
28 August 2021 - 04:28 PM,13.7,120.68,99,1.6,015 km S 20° E of Calatagan (Batangas)
28 August 2021 - 03:07 PM,5.14,126.54,18,3.8,128 km S 76° E of Sarangani (Davao Occidental)
28 August 2021 - 02:12 PM,6.62,125.18,13,2.9,008 km S 85° W of Kiblawan (Davao Del Sur)
28 August 2021 - 10:54 AM,7.01,126.53,157,3.4,009 km S 64° E of Tarragona (Davao Oriental)
28 August 2021 - 10:44 AM,16.01,121.97,31,1.7,014 km S 06° E of Dinalungan (Aurora)
28 August 2021 - 10:25 AM,15.03,122.58,33,1.9,046 km N 35° E of Jomalig (Quezon)
28 August 2021 - 08:31 AM,13.72,120.65,92,1.6,012 km S 11° E of Calatagan (Batangas)
28 August 2021 - 07:25 AM,5.89,126.84,1,3.6,120 km S 45° E of Governor Generoso (Davao Oriental)
28 August 2021 - 06:11 AM,9.69,122.43,62,2.2,011 km N 20° W of Hinoba-an (Negros Occidental)
28 August 2021 - 06:05 AM,18.61,121.16,28,2.2,009 km 00 °ast of Claveria (Cagayan)
28 August 2021 - 04:01 AM,6.16,126.7,8,2.5,088 km S 52° E of Governor Generoso (Davao Oriental)
28 August 2021 - 03:26 AM,13.72,120.62,75,1.7,013 km S 04° W of Calatagan (Batangas)
28 August 2021 - 03:09 AM,13.7,120.63,107,2.1,014 km S 01° W of Calatagan (Batangas)
28 August 2021 - 02:37 AM,16.29,119.65,23,2,025 km N 40° W of Agno (Pangasinan)
28 August 2021 - 01:42 AM,11.22,126.12,8,3.3,047 km N 74° E of Mercedes (Eastern Samar)
28 August 2021 - 01:29 AM,14.65,123.16,33,3.2,030 km N 50° E of Tinaga Island (Vinzons) (Camarines Norte)
28 August 2021 - 12:32 AM,16.44,122.46,26,2.4,023 km S 66° E of Dinapigue (Isabela)
27 August 2021 - 11:42 PM,13.77,120.6,98,1.6,008 km S 25° W of Calatagan (Batangas)
27 August 2021 - 10:51 PM,13.58,120.62,5,1.5,019 km N 39° W of Abra De Ilog (Occidental Mindoro)
27 August 2021 - 10:49 PM,5.36,125.42,34,2.8,006 km S 03° W of Sarangani (Davao Occidental)
27 August 2021 - 10:32 PM,5.47,126.31,6,3.4,099 km N 87° E of Sarangani (Davao Occidental)
27 August 2021 - 09:56 PM,5.53,125.3,17,3.1,018 km N 47° W of Sarangani (Davao Occidental)
27 August 2021 - 08:57 PM,5.58,125.27,34,2.5,025 km N 42° W of Sarangani (Davao Occidental)
27 August 2021 - 08:06 PM,13.71,120.6,107,2.2,014 km S 15° W of Calatagan (Batangas)
27 August 2021 - 07:36 PM,5.62,125.23,26,4,031 km N 43° W of Sarangani (Davao Occidental)
27 August 2021 - 07:28 PM,7.14,125.74,33,2,008 km N 24° E of Island Garden City Of Samal (Davao Del Norte)
27 August 2021 - 07:24 PM,11.13,124.94,179,3.6,006 km S 22° E of Santa Fe (Leyte)
27 August 2021 - 07:12 PM,5.57,125.15,1,2.3,035 km N 59° W of Sarangani (Davao Occidental)
27 August 2021 - 07:11 PM,5.55,125.2,3,2.3,028 km N 58° W of Sarangani (Davao Occidental)
27 August 2021 - 07:06 PM,5.23,125.41,32,3.7,020 km S 04° W of Sarangani (Davao Occidental)
27 August 2021 - 06:49 PM,5.8,125.16,1,3,006 km S 69° W of Glan (Sarangani)
27 August 2021 - 06:47 PM,6.04,125.47,81,2.3,021 km S 70° E of Alabel (Sarangani)
27 August 2021 - 06:28 PM,12.99,124.02,120,2.9,001 km N 32° W of City Of Sorsogon (Sorsogon)
27 August 2021 - 06:22 PM,5.5,125.24,34,5.7,022 km N 65° W of Sarangani (Davao Occidental)
27 August 2021 - 06:03 PM,13.73,120.53,105,2.7,016 km S 46° W of Calatagan (Batangas)
27 August 2021 - 06:02 PM,5.74,126.47,1,3.4,093 km S 78° E of Jose Abad Santos (Davao Occidental)
27 August 2021 - 05:22 PM,13.69,120.57,112,2.9,017 km S 23° W of Calatagan (Batangas)
27 August 2021 - 04:44 PM,3.37,124.54,4,3.4,246 km S 23° W of Sarangani (Davao Occidental)
27 August 2021 - 03:15 PM,5.85,126.85,15,3.5,124 km S 44° E of Governor Generoso (Davao Oriental)
27 August 2021 - 10:35 AM,7.76,126.43,5,2.9,004 km S 39° W of Cateel (Davao Oriental)
27 August 2021 - 09:49 AM,9.09,126.33,2,2.8,018 km N 84° E of City Of Tandag (Surigao Del Sur)
27 August 2021 - 09:32 AM,15.61,119.71,34,2.3,023 km S 85° W of Candelaria (Zambales)
27 August 2021 - 09:13 AM,11.3,124.39,4,2.2,010 km Nort° 00 of Villaba (Leyte)
27 August 2021 - 07:10 AM,14.95,120.11,25,2,002 km S 82° E of San Antonio (Zambales)
27 August 2021 - 06:59 AM,6.19,126.65,16,3.3,082 km S 51° E of Governor Generoso (Davao Oriental)
27 August 2021 - 06:27 AM,13.7,120.64,110,1.9,015 km S 03° E of Calatagan (Batangas)
27 August 2021 - 05:53 AM,13,125.2,13,3.1,051 km N 11° E of Palapag (Northern Samar)
27 August 2021 - 05:02 AM,5.64,126.58,1,3.2,125 km S 27° E of Governor Generoso (Davao Oriental)
27 August 2021 - 04:42 AM,13.66,120.57,115,3,021 km S 19° W of Calatagan (Batangas)
27 August 2021 - 04:39 AM,5.46,126.51,76,4.7,108 km S 62° E of Jose Abad Santos (Davao Occidental)
27 August 2021 - 04:30 AM,5.13,126.22,22,3.1,094 km S 71° E of Sarangani (Davao Occidental)
27 August 2021 - 03:58 AM,5.07,126.19,2,3.6,093 km S 66° E of Sarangani (Davao Occidental)
27 August 2021 - 02:29 AM,17.41,120.1,31,2.2,034 km S 63° W of Caoayan (Ilocos Sur)
27 August 2021 - 02:23 AM,9.71,122.4,29,2.3,014 km N 33° W of Hinoba-an (Negros Occidental)
27 August 2021 - 01:32 AM,4.98,125.48,9,2.5,046 km S 07° E of Sarangani (Davao Occidental)
27 August 2021 - 01:14 AM,16.29,120.64,12,3,009 km S 27° W of Itogon (Benguet)
27 August 2021 - 12:37 AM,10.93,124.63,33,1.8,007 km N 78° W of Albuera (Leyte)
27 August 2021 - 12:30 AM,11.77,124.24,8,2.5,011 km S 76° W of Maripipi (Biliran)
26 August 2021 - 11:12 PM,13.8,120.55,141,1.9,009 km S 66° W of Calatagan (Batangas)
26 August 2021 - 10:36 PM,11.76,124.24,6,3.6,016 km N 54° W of Kawayan (Biliran)
26 August 2021 - 10:30 PM,4.68,125.38,48,4.5,082 km S 03° W of Sarangani (Davao Occidental)
26 August 2021 - 06:58 PM,12.45,125.76,5,2.7,041 km N 43° E of San Policarpo (Eastern Samar)
26 August 2021 - 05:23 PM,5.16,125.36,193,4.3,029 km S 15° W of Sarangani (Davao Occidental)
26 August 2021 - 04:58 PM,9.82,122.42,29,2.7,005 km N 10° W of City Of Sipalay (Negros Occidental)
26 August 2021 - 04:41 PM,13.67,120.6,109,2,018 km S 11° W of Calatagan (Batangas)
26 August 2021 - 02:30 PM,5.88,126.74,84,2.9,113 km S 41° E of Governor Generoso (Davao Oriental)
26 August 2021 - 01:51 PM,16.36,120.66,21,2.8,002 km S 64° W of Itogon (Benguet)
26 August 2021 - 10:57 AM,5.77,125.24,17,3.1,007 km S 33° E of Glan (Sarangani)
26 August 2021 - 10:26 AM,16.38,120.68,23,2.3,002 km N 14° E of Itogon (Benguet)
26 August 2021 - 09:06 AM,7.12,125.35,11,2.6,029 km N 77° W of City Of Davao (Davao Del Sur)
26 August 2021 - 08:19 AM,6.6,126.36,26,3.1,032 km S 79° E of Governor Generoso (Davao Oriental)
26 August 2021 - 07:58 AM,13.33,121.61,17,2.3,029 km S 64° W of Boac (Marinduque)
26 August 2021 - 07:32 AM,6.21,126.63,4,2.9,079 km S 51° E of Governor Generoso (Davao Oriental)
26 August 2021 - 06:59 AM,16.43,120.66,21,1.8,007 km N 16° W of Itogon (Benguet)
26 August 2021 - 06:08 AM,6.4,123.9,2,2.8,023 km S 45° W of Kalamansig (Sultan Kudarat)
26 August 2021 - 06:08 AM,12.84,123.66,24,3.4,009 km S 07° W of Pilar (Sorsogon)
26 August 2021 - 05:55 AM,6.23,123.72,35,3.2,051 km S 45° W of Kalamansig (Sultan Kudarat)
26 August 2021 - 05:42 AM,13.71,120.39,47,1.8,030 km S 63° W of Calatagan (Batangas)
26 August 2021 - 05:16 AM,13.73,120.53,111,2,016 km S 44° W of Calatagan (Batangas)
26 August 2021 - 04:53 AM,17.33,120.03,3,2.3,048 km N 67° W of City Of Candon (Ilocos Sur)
26 August 2021 - 04:08 AM,19.55,121.2,4,3.2,044 km N 42° W of Calayan (Cagayan)
26 August 2021 - 02:46 AM,13.59,120.62,104,2,020 km N 36° W of Abra De Ilog (Occidental Mindoro)
26 August 2021 - 02:24 AM,17.18,120.36,6,2.3,009 km N 78° W of City Of Candon (Ilocos Sur)
26 August 2021 - 02:04 AM,14.93,122.55,15,1.8,035 km N 43° E of Jomalig (Quezon)
26 August 2021 - 01:55 AM,5.63,126.65,2,3.5,116 km S 74° E of Jose Abad Santos (Davao Occidental)
