Date - Time,Lat,Long,Depth,Mag,Location
31 May 2021 - 11:52 PM,5.01,126.07,155,3.3,084 km S 58° E of Sarangani (Davao Occidental)
31 May 2021 - 11:43 PM,6.51,126.58,28,3.1,058 km S 74° E of Governor Generoso (Davao Oriental)
31 May 2021 - 09:46 PM,7.47,124.42,10,2.8,008 km S 86° E of Barira (Maguindanao)
31 May 2021 - 09:30 PM,17.13,120.23,20,2.1,023 km S 80° W of City Of Candon (Ilocos Sur)
31 May 2021 - 07:53 PM,7.03,126.35,69,2.6,038 km S 54° E of Tarragona (Davao Oriental)
31 May 2021 - 07:03 PM,16.44,122.15,17,2.1,009 km N 51° W of Dilasag (Aurora)
31 May 2021 - 06:33 PM,9.96,126.13,31,2.2,009 km S 42° E of Burgos (Surigao Del Norte)
31 May 2021 - 06:24 PM,15.1,119.75,14,3,035 km N 83° W of San Felipe (Zambales)
31 May 2021 - 05:21 PM,9.76,124.01,24,2.2,004 km N 79° E of Balilihan (Bohol)
31 May 2021 - 05:08 PM,6.72,126.69,143,2.4,045 km S 36° E of Tarragona (Davao Oriental)
31 May 2021 - 02:54 PM,9.8,125.8,24,2.1,020 km S 68° W of Del Carmen (Surigao Del Norte)
31 May 2021 - 01:45 PM,5.92,126.24,142,3.4,068 km S 63° E of Don Marcelino (Davao Occidental)
31 May 2021 - 01:04 PM,17.51,120.14,20,3.4,027 km S 75° W of City Of Vigan (Ilocos Sur)
31 May 2021 - 11:16 AM,16.52,121.52,32,1.8,005 km S 66° W of Saguday (Quirino)
31 May 2021 - 10:48 AM,17.54,119.97,18,4.3,044 km S 84° W of City Of Vigan (Ilocos Sur)
31 May 2021 - 10:43 AM,3.81,128.06,100,4.6,342 km S 59° E of Sarangani (Davao Occidental)
31 May 2021 - 05:36 AM,9.4,126.31,12,2,021 km N 46° E of Cortes (Surigao Del Sur)
31 May 2021 - 05:01 AM,9.4,123.82,10,2.5,021 km S 21° E of Panglao (Bohol)
31 May 2021 - 04:47 AM,8.48,126.92,35,2,066 km N 79° E of Hinatuan (Surigao Del Sur)
31 May 2021 - 03:04 AM,13.88,123.14,30,2.3,022 km N 53° E of Sipocot (Camarines Sur)
31 May 2021 - 03:02 AM,6.57,126.47,24,3,045 km S 79° E of Governor Generoso (Davao Oriental)
31 May 2021 - 02:58 AM,6.51,126.64,30,2.7,064 km S 21° E of Tarragona (Davao Oriental)
31 May 2021 - 02:03 AM,17.93,120.64,30,1.7,004 km N 53° W of Nueva Era (Ilocos Norte)
31 May 2021 - 02:02 AM,18.03,120.82,13,1.9,009 km S 34° E of Solsona (Ilocos Norte)
31 May 2021 - 01:59 AM,18.01,120.81,28,2.6,020 km S 31° E of Piddig (Ilocos Norte)
31 May 2021 - 01:52 AM,12.73,123.32,17,2.9,021 km S 24° E of Claveria (Masbate)
31 May 2021 - 01:30 AM,17.82,120.69,1,2,010 km S 14° E of Nueva Era (Ilocos Norte)
31 May 2021 - 01:26 AM,10.2,126.35,9,2.3,036 km N 56° E of Burgos (Surigao Del Norte)
31 May 2021 - 01:12 AM,17.46,122.3,96,2.9,015 km N 02° E of Divilacan (Isabela)
31 May 2021 - 12:31 AM,9.51,122.65,22,1.9,011 km N 07° E of Basay (Negros Oriental)
31 May 2021 - 12:02 AM,4.81,125.42,47,3.3,066 km S 01° W of Sarangani (Davao Occidental)
30 May 2021 - 11:56 PM,8.15,124.04,31,2.9,004 km S 17° E of Bacolod (Lanao Del Norte)
