Date - Time,Lat,Long,Depth,Mag,Location
30 June 2018 - 11:46 PM,11.74,125.41,22,2.8,006  km S 72° W of San Julian (Eastern Samar)
30 June 2018 - 10:02 PM,7.08,126.27,26,3,016  km N 21° E of Mati (Davao Oriental)
30 June 2018 - 07:54 PM,15.69,121.88,5,2.7,035  km S 78° E of Baler (Aurora)
30 June 2018 - 05:23 PM,10.07,122.08,31,3,049  km N 46° W of Sipalay (Negros Occidental)
30 June 2018 - 05:19 PM,7.11,127.35,29,3.9,090  km S 83° E of Manay (Davao Oriental)
30 June 2018 - 02:29 PM,13.73,120.57,92,1.7,013  km S 33° W of Calatagan (Batangas)
30 June 2018 - 11:38 AM,6.59,126.78,49,3.6,062  km S 36° E of Tarragona (Davao Oriental)
30 June 2018 - 09:14 AM,9.22,125.69,9,2.5,016  km S 63° E of Santiago (Agusan del Norte)
30 June 2018 - 03:12 AM,9.09,125.66,28,2.3,009  km N 61° E of Remedios Romualdez (Agusan del Norte)
30 June 2018 - 02:46 AM,6.63,126.82,19,3.5,062  km S 42° E of Tarragona (Davao Oriental)
30 June 2018 - 01:53 AM,20.16,121.82,26,2.2,020  km S 16° W of Sabtang (Batanes)
30 June 2018 - 01:36 AM,15.14,120,12,2,012  km N 43° E of San Felipe (Zambales)
29 June 2018 - 11:42 PM,13.98,120.53,175,2.5,014  km S 63° W of Lian (Batangas)
29 June 2018 - 11:39 PM,16.34,122.25,21,2.1,016  km N 62° E of Casiguran (Aurora)
29 June 2018 - 10:33 PM,5.91,126.76,29,2.4,112 km S 43° E of Governor Generoso (Davao Oriental)
29 June 2018 - 10:12 PM,16.28,122.21,19,3.1,009 km N 89° E of Casiguran (Aurora)
29 June 2018 - 09:29 PM,14.37,120.35,99,2.7,017 km S 64° W of Mariveles (Bataan)
29 June 2018 - 09:01 PM,7.06,125.47,1,3.1,015 km S 87° W of Davao City (Davao Del Sur)
29 June 2018 - 08:55 PM,17.46,120.12,24,2.1,028 km S 63° W of Santa Catalina (Ilocos Sur)
29 June 2018 - 07:31 PM,5.4,126,22,2.9,059 km S 86° E of Sarangani (Davao Occidental)
29 June 2018 - 06:13 PM,15.28,119.95,21,2.8,007 km S 26° W of Iba (Zambales)
29 June 2018 - 04:48 PM,16.01,124.87,96,2.4,230 km N 19° E of Pandan (Catanduanes)
29 June 2018 - 04:26 AM,19.05,121.15,8,2.6,041 km S 53° W of Calayan (Cagayan)
29 June 2018 - 03:16 AM,15.14,120.23,7,2.6,019 km S 84° E of Cabangan (Zambales)
29 June 2018 - 02:46 AM,6.59,126.42,30,2.5,038 km S 80° E of Governor Generoso (Davao Oriental)
29 June 2018 - 02:33 AM,13.15,124.21,36,1.8,010 km S 62° E of Rapu-rapu (Albay)
29 June 2018 - 02:10 AM,10.73,126.2,1,2.3,062 km S 57° E of Guiuan (Eastern Samar)
29 June 2018 - 01:46 AM,5.25,126.11,1,1.9,073 km S 74° E of Sarangani (Davao Occidental)
29 June 2018 - 01:19 AM,12.83,124.69,18,2.7,035 km N 11° W of Mondragon (Northern Samar)
28 June 2018 - 11:10 PM,5.07,126.28,11,2.9,098 km S 65° E of Sarangani (Davao Occidental)
28 June 2018 - 11:01 PM,9.86,122.28,33,2.1,018 km N 53° W of Sipalay (Negros Occidental)
28 June 2018 - 10:35 PM,10.18,126.42,1,2.8,046 km N 65° E of Burgos (Surigao Del Norte)
28 June 2018 - 10:33 PM,10.74,125.49,24,2.4,042 km S 38° W of Guiuan (Eastern Samar)
28 June 2018 - 10:27 PM,7.28,125.74,1,2.2,007 km N 90° E of Panabo City (Davao Del Norte)
28 June 2018 - 10:20 PM,10.23,123.24,28,2.3,013 km N 18° W of Guihulngan (Negros Oriental)
28 June 2018 - 09:25 PM,10.1,121.9,73,2.1,037 km S 05° W of Anini-y (Antique)
28 June 2018 - 07:27 PM,14.62,123.35,36,2.5,069 km N 44° E of Vinzons (Camarines Norte)
28 June 2018 - 03:11 PM,10.17,122.24,1,3.2,044 km S 50° E of Anini-y (Antique)
28 June 2018 - 01:01 PM,7.83,127.4,22,3.5,097 km N 73° E of Baganga (Davao Oriental)
28 June 2018 - 12:00 PM,14.41,123.94,1,2.1,047 km N 31° W of Pandan (Catanduanes)
28 June 2018 - 10:55 AM,7.21,125.68,20,3.1,008 km S 06° E of Panabo City (Davao Del Norte)
28 June 2018 - 08:18 AM,5.97,126.35,22,3.1,082 km N 85° E of Jose Abad Santos (Davao Occidental)
28 June 2018 - 06:04 AM,11.58,125.79,11,3.3,034 km N 33° E of Hernani (Eastern Samar)
28 June 2018 - 02:31 AM,9.94,125.46,34,3.4,019 km N 09° W of Surigao City
28 June 2018 - 02:09 AM,20.55,122.05,15,3,025 km N 27° E of Uyugan (Batanes)
28 June 2018 - 01:25 AM,9.26,125.56,9,2.5,001 km S 19° E of Santiago (Agusan Del Norte)
28 June 2018 - 01:21 AM,7.27,125.31,34,2.7,023 km S 82° E of Antipas (North Cotabato)
27 June 2018 - 11:44 PM,18.73,121.04,19,2,014 km N 18° W of Claveria (Cagayan)
27 June 2018 - 11:37 PM,5.99,124.86,22,2.5,021 km N 49° W of Maasim (Sarangani)
27 June 2018 - 10:57 PM,12.05,123.95,6,3.6,007 km N 53° W of Cataingan (Masbate)
27 June 2018 - 10:09 PM,17.25,122.2,25,2.3,014 km S 52° W of Divilacan (Isabela)
27 June 2018 - 09:37 PM,10.66,122.19,36,2,043 km S 89° W of Jordan (Guimaras)
27 June 2018 - 09:19 PM,18.89,120.91,30,2,036 km N 30° W of Claveria (Cagayan)
27 June 2018 - 07:48 PM,5.51,126.72,1,2.8,129 km S 71° E of Jose Abad Santos (Davao Occidental)
27 June 2018 - 06:03 PM,10.22,126.06,9,2.6,022 km N 06° E of Santa Monica (Sapao) (Surigao Del Norte)
27 June 2018 - 03:23 PM,6.05,125.87,152,3.2,025 km S 49° E of Don Marcelino (Davao Occidental)
27 June 2018 - 03:09 PM,12.08,124.01,4,2.6,007 km N 17° E of Cataingan (Masbate)
27 June 2018 - 12:20 PM,13.65,120.58,121,2,021 km S 15° E of Calatagan (Batangas)
27 June 2018 - 06:40 AM,6.36,125.92,7,3.4,031 km N 55° E of Don Marcelino (Davao Occidental)
27 June 2018 - 02:51 AM,14.09,120.14,1,3,026 km N 03° E of Lubang (Occidental Mindoro)
27 June 2018 - 02:48 AM,16.07,119.99,22,2.5,009 km S 07° E of Alaminos City (Pangasinan)
27 June 2018 - 01:22 AM,13.01,123.29,4,2.9,013 km N 18° E of Claveria (Masbate)
26 June 2018 - 10:42 PM,11.5,125.72,13,3.4,023 km N 82° E of Balangkayan (Easterm Samar)
26 June 2018 - 09:18 PM,18.92,120.9,27,3.1,039 km N 17° E of Pagudpud (Ilocos Norte)
26 June 2018 - 07:29 PM,11.58,125.89,9,3.5,041 km N 46° E of Hernani (Easterm Samar)
26 June 2018 - 01:13 PM,5.92,126.36,25,3.6,080 km S 68° E of Don Marcelino (Davao Occidental)
26 June 2018 - 12:12 PM,4.3,124.09,39,3.2,194 km S 18° W of Kiamba (Sarangani)
26 June 2018 - 10:57 AM,14.08,120.36,16,2,029 km S 89° W of Nasugbu (Batangas)
26 June 2018 - 10:52 AM,12.07,122.16,19,1.6,022 km S 66° E of Santa Fe (Romblon)
26 June 2018 - 10:46 AM,5.55,126.42,14,2.6,097 km S 67° E of Jose Abad Santos (Davao Occidental)
26 June 2018 - 07:12 AM,5.82,126.58,17,1.9,106 km S 67° E of Don Marcelino ( Davao Occidental)
26 June 2018 - 06:28 AM,13.11,120.9,20,3.9,020 km N 79° E of Santa Cruz (Occidental Mindoro)
26 June 2018 - 05:02 AM,10.28,122.25,25,3.5,036 km S 19° E of San Joaquin (Iloilo)
26 June 2018 - 02:11 AM,17.78,122.68,33,1.9,063 km N 39° E of Divilacan (Isabela)
26 June 2018 - 01:17 AM,5.41,126.36,9,3.2,098 km S 58° E of Jose Abad Santos (Davao Occidental)
26 June 2018 - 12:58 AM,4.67,125.91,156,2.5,098 km S 30° E of Sarangani (Davao Occidental)
26 June 2018 - 12:35 AM,6.14,125.85,86,2.2,030 km S 06° W of Malita (Davao Occidental)
25 June 2018 - 11:53 PM,6.98,123.62,30,2.9,056 km N 71° W of South Upi (Maguindanao)
25 June 2018 - 09:44 PM,5.83,126.85,31,2.9,125 km S 43° E of Governor Generoso (Davao Oriental)
25 June 2018 - 08:06 PM,5.45,126.5,1,2.5,110 km S 64° E of Jose Abad Santos (Davao Occidental)
25 June 2018 - 05:31 PM,6.56,124.24,27,2,004 km N 26° E of Sen. Ninoy Aquino (Sultan Kudarat)
25 June 2018 - 02:53 PM,15.11,119.92,9,2.8,017 km N 73° W of San Felipe (Zambales)
25 June 2018 - 01:39 PM,8.87,126.33,29,2.9,006 km S 35° E of Cagwait (Surigao Del Sur)
25 June 2018 - 04:04 AM,7.31,127.48,19,2.7,101 km S 81° E of Baculin (Davao Oriental)
25 June 2018 - 02:53 AM,15.96,119.7,23,2.9,020 km S 81° W of Dasol (Pangasinan)
25 June 2018 - 02:29 AM,5.53,126.5,30,2.5,106 km S 68° E of Jose Abad Santos (Davao Occidental)
25 June 2018 - 02:16 AM,5.18,126.51,72,4.8,118 km S 76° E of Jose Abad Santos (Davao Occidental)
25 June 2018 - 01:57 AM,9.26,125.55,1,3,008 km N 06° E of Tubay (Agusan Del Norte)
