Date - Time,Lat,Long,Depth,Mag,Location
31 May 2018 - 11:44 PM,4.02,126.5,39,4.7,194 km S 36° E of Sarangani (Davao Occidental)
31 May 2018 - 11:27 PM,17.38,121.83,24,2.5,006 km S 67° E of Santo Tomas (Isabela)
31 May 2018 - 11:22 PM,6.18,126.35,1,2.7,060 km S 31° E of Governor Generoso (Davao Oriental)
31 May 2018 - 11:19 PM,15.07,120.01,18,2,007 km N 84° W of San Felipe (Zambales)
31 May 2018 - 09:56 PM,12.9,124.33,31,2.1,021 km N 79° E of Barcelona (Sorsogon)
31 May 2018 - 08:53 PM,10.07,123.66,25,2.2,005 km S 28° E of Carcar (Cebu)
31 May 2018 - 06:46 PM,15.73,121.62,24,2,007 km S 63° E of Baler (Aurora)
31 May 2018 - 04:29 PM,17.94,120.47,1,2.5,008 km N 09° E of Sinait (Ilocos Sur)
31 May 2018 - 10:50 AM,9.85,126.35,23,2.5,023 km N 70° E of General Luna (Surigao Del Norte)
31 May 2018 - 08:14 AM,13.98,120.34,9,2.4,028 km S 79° W of Mamburao (Occidental Mindoro)
31 May 2018 - 08:05 AM,10.6,125,2,2.5,004 km S 77° E of Mahaplag (Leyte)
31 May 2018 - 05:05 AM,9.04,125.77,22,2.4,021 km S 84° E of Remedios Romualdez (Agusan Del Norte)
31 May 2018 - 03:15 AM,8.19,126.89,32,2.3,056 km N 72° E of Lingig (Surigao Del Sur)
31 May 2018 - 02:51 AM,13.67,121.42,19,2.1,023 km N 84° E of Lobo (Batangas)
31 May 2018 - 02:29 AM,5.46,124.93,20,2.7,045 km S 12° W of Maasim (Sarangani)
31 May 2018 - 02:01 AM,6.31,125.45,60,2.2,031 km N 38° E of Alabel (Sarangani)
31 May 2018 - 12:48 AM,17.33,121.83,33,2.4,015 km N 15° W of Ilagan (Isabela)
30 May 2018 - 10:55 PM,9.42,123.05,6,2.6,011 km S 39° W of Pamplona (Negros Oriental)
30 May 2018 - 10:50 PM,5.47,125.52,22,2.5,007 km N 49° E of Sarangani (Davao Occidental)
30 May 2018 - 08:55 PM,20.85,121.85,32,2.1,006 km N 08° E of Itbayat (Batanes)
30 May 2018 - 08:31 PM,9.15,126.7,14,3.6,050km N 66° E of Bayabas (Surigao Del Sur)
30 May 2018 - 06:46 PM,18.07,120.52,26,4.2,001 km N 06° E of Paoay (Ilocos Norte)
30 May 2018 - 06:23 PM,18.05,120.87,66,2.3,011 km S 61° E of Solsona (Ilocos Norte)
30 May 2018 - 05:29 PM,14.22,124.25,3,2.4,021 km N 27° E of Pandan (Catanduanes)
30 May 2018 - 04:18 PM,10.3,126.08,18,2.8,031 km N 01° E of Burgos (Surigao Del Norte)
30 May 2018 - 02:59 PM,8.8,122.09,11,2.7,090 km S 42° W of Basay (Negros Oriental)
30 May 2018 - 02:20 PM,11.24,125.71,57,3,012 km N 29° E of S (Eastern Samar)
30 May 2018 - 01:53 PM,14,120.32,60,2,027 km N 54° E of Nasugbu (Batangas)
30 May 2018 - 11:10 AM,10.11,126.09,13,3.2,011 km N 09° E of Burgos (Surigao Del Norte)
30 May 2018 - 10:57 AM,13.94,120.34,75,3.2,026 km N 23° E of Lubang (Occidental Mindoro)
30 May 2018 - 10:15 AM,9.14,126.04,128,2.1,010 km S 18° E of Carmen (Surigao Del Sur)
30 May 2018 - 06:59 AM,7.57,123.54,9,3.4,023 km S 74° E of Dinas (Zamboanga Del Sur)
