Date - Time,Lat,Long,Depth,Mag,Location
30 April 2018 - 10:46 PM,7.49,126.41,13,3.1,092 km N 88° E of Baculin (Davao Oriental)
30 April 2018 - 09:57 PM,8.15,126,12,2.8,003 km S 40° E of Bunawan (Agusan Del Sur)
30 April 2018 - 08:37 PM,6.86,125.09,16,2.7,011 km S 02° W of Makilala (North Cotabato)
30 April 2018 - 06:11 PM,10.16,122.21,4,2.6,043 km S 46° E of Anini-y (Antique)
30 April 2018 - 12:20 PM,12.76,122.8,31,1.9,045 km S 25° W of San Pascual (Masbate)
30 April 2018 - 09:42 AM,19.9,121.38,29,3,069 km N 07° W of Calayan (Cagayan)
30 April 2018 - 07:27 AM,13.44,124.11,6,2.2,020 km S 39° W of Virac (Catanduanes)
30 April 2018 - 05:06 AM,6.76,126.7,29,2.1,042 km S 41° E of Tarragona (Davao Oriental)
30 April 2018 - 04:55 AM,13.99,125,17,2.6,071 km N 70° E of Gigmoto (Catanduanes)
29 April 2018 - 09:54 PM,9.59,122.46,7,3,006 km N 50° W of Hinoba-an (Negros Occidental)
29 April 2018 - 09:38 PM,9.1,126.39,31,2.3,018 km N 39° E of Bayabas (Surigao Del Sur)
29 April 2018 - 08:17 PM,7.74,126.61,29,2.4,019 km N 16° E of Baganga (Davao Oriental)
29 April 2018 - 08:08 PM,13.28,120.91,90,1.9,031 km N 40° E of Santa Cruz (Occidental Mindoro)
29 April 2018 - 06:48 PM,10.51,122.47,7,2.6,008 km S 73° W of Nueva Valencia (Guimaras)
29 April 2018 - 05:07 PM,7.57,124.97,1,2.7,003 km N 34° W of Damulog (Bukidnon)
29 April 2018 - 04:49 PM,9.72,122.82,3,2.5,026 km S 67° E of Candoni (Negros Occidental)
29 April 2018 - 12:02 PM,14.2,120.4,119,2.9,028 km S 18° W of Mariveles (Bataan)
29 April 2018 - 05:35 AM,14.2,120.41,118,3,028 km S 17° W of Mariveles (Bataan)
29 April 2018 - 05:24 AM,16.96,120.28,71,2.8,016 km N 42° W of Luna  (La Union)
29 April 2018 - 03:18 AM,6.43,126.36,28,2.8,040 km S 52° E of Governor Generoso (Davao Oriental)
29 April 2018 - 01:55 AM,12.31,125.74,57,2.3,029 km N 60° E of San Policarpio (Eastern Samar)
28 April 2018 - 09:58 PM,8.73,126.62,32,2.1,036 km S 77° E of Marihatag (Surigao Del Sur)
28 April 2018 - 05:55 PM,13.57,120.65,111,3.6,016 km N 31° W of Abra De Ilog (Occidental Mindoro)
28 April 2018 - 04:25 PM,6.48,125.54,26,1.4,010 km N 49° W of Malita (Davao Occidental)
28 April 2018 - 12:21 PM,17.31,120.39,18,2.8,012 km S 54° W of Santa Maria (Ilocos Sur)
28 April 2018 - 12:08 PM,9.92,124.17,45,2.5,007 km S 59° W of Danao (Bohol)
28 April 2018 - 10:41 AM,13.68,124.89,4,2.9,055 km S 78° E of Gigmoto (Catanduanes)
28 April 2018 - 10:32 AM,13.56,120.67,91,2.1,014 km N 26° W of Abra De Ilog (Occidental Mindoro)
28 April 2018 - 09:45 AM,17.35,120.25,3,3.5,021 km N 84° W of San Esteban (Ilocos Sur)
28 April 2018 - 07:13 AM,13.92,125.24,38,3.1,094 km N 81° E of Gigmoto (Catanduanes)
28 April 2018 - 03:22 AM,6.47,126.87,92,3.5,079 km S 36° E of Tarragona (Davao Oriental)
