Date - Time,Lat,Long,Depth,Mag,Location
31 August 2018 - 10:40 PM,13.59,120.69,112,5.2,016 km N 16° W of Abra De Ilog (Occidental Mindoro)
31 August 2018 - 10:03 PM,14.13,120.27,34,1.8,038 km N 81° W of Nasugbu (Batangas)
31 August 2018 - 06:00 PM,9.99,125.75,85,2.3,011 km N 50° E of Cagdiano (Dinagat)
31 August 2018 - 04:16 PM,4.23,125.36,1,2.8,134 km S 05° W of Sarangani (Davao Occidental)
31 August 2018 - 03:58 PM,6.94,126.09,34,1.9,014 km S 85° W of Mati (Davao Oriental)
31 August 2018 - 01:47 PM,10.3,126.1,5,3.1,031 km N 05° W of Burgos (Surigao del Norte)
31 August 2018 - 01:00 PM,15.25,119.88,26,2.1,013 km S 48° W of Iba (Zambales)
31 August 2018 - 12:41 PM,9.83,125.48,22,2.7,005 km N 23° W of Surigao City (Surigao del Norte)
31 August 2018 - 12:28 PM,8.92,122.53,110,3,055 km S 13° W of Basay (Negros Oriental)
31 August 2018 - 12:27 PM,6.75,123.96,30,1.7,016 km N 47° W of Lebak (Sultan Kudarat)
31 August 2018 - 12:24 PM,10.08,126.17,5,2.5,012 km N 58° E of Burgos (Surigao del Norte)
31 August 2018 - 12:24 PM,8.95,122.59,5,1.7,050 km S 75° W of Siaton (Negros Oriental)
31 August 2018 - 10:43 AM,10.26,126.09,25,2,027 km N 04° E of Burgos (Surigao del Norte)
31 August 2018 - 10:23 AM,4.85,127.56,105,3.2,241 km S 74° E of Sarangani (Davao Occidental)
31 August 2018 - 08:23 AM,9.82,122.6,29,2,001 km N 09° W of Candoni (Negros Occidental)
31 August 2018 - 06:20 AM,18.93,120.92,11,3.3,039 km N 26° W of Claveria (Cagayan)
31 August 2018 - 06:11 AM,5.96,125.07,9,2.1,012 km N 31° E of Maasim (Sarangani)
31 August 2018 - 05:04 AM,12.9,124.22,98,2.1,009 km N 60° E of Barcelona (Sorsogon)
31 August 2018 - 02:41 AM,12.93,124.69,1,2,048 km N 07° E of Catarman (Northern Samar)
31 August 2018 - 02:14 AM,5.49,124.85,173,3.3,045 km S 24° W of Maasim (Sarangani)
31 August 2018 - 01:42 AM,9.89,126.63,6,3,054 km N 77° E of General Luna (Surigao Del Norte)
31 August 2018 - 12:19 AM,9.71,123.05,6,1.9,019 km S 29° W of Ayungon (Negros Oriental)
30 August 2018 - 11:48 PM,13.74,120.51,91,4.1,017 km S 54° W of Calatagan (Batangas)
30 August 2018 - 06:25 PM,13.92,120.48,87,2,019 km N 59° W of Calatagan (Batangas)
30 August 2018 - 04:14 PM,6.88,123.82,8,3.3,032 km N 78° W of South Upi (Maguindanao)
30 August 2018 - 03:44 PM,10.24,126.36,1,3.3,040 km N 51° E of Burgos (Surigao Del Norte)
30 August 2018 - 02:50 PM,14.61,124.07,28,2.8,063 km N 09° W of Pandan (Catanduanes)
30 August 2018 - 11:17 AM,18.48,120.59,19,2.3,007 km S 60° W of Burgos (Ilocos Norte)
30 August 2018 - 09:01 AM,16.44,121.92,24,1.7,019 km S 63° E of San Agustin (Isabela)
30 August 2018 - 08:32 AM,7.64,124.76,2,3.2,001 km S 88° W of Wao (Lanao Del Sur)
30 August 2018 - 07:39 AM,12.88,120.67,33,2.3,011 km N 64° W of Sablayan (Occidental Mindoro)
30 August 2018 - 04:09 AM,11.03,126.05,16,2.5,035 km S 89° E of Guiuan (Eastern Samar)
30 August 2018 - 04:07 AM,20.46,121.83,33,2.3,014 km N 19° W of Sabtang (Batanes)
30 August 2018 - 03:20 AM,6.54,126.52,36,2.1,051 km S 77° E of Governor Generoso (Davao Oriental)
30 August 2018 - 03:13 AM,6.24,126.74,142,2.1,087 km S 59° E of Governor Generoso (Davao Oriental)
30 August 2018 - 03:08 AM,10.14,123.27,34,1.6,002 km N 08° W of Guihulngan (Negros Oriental)
30 August 2018 - 02:56 AM,9.67,126.22,33,2,015 km S 28° E of General Luna (Surigao Del Norte)
30 August 2018 - 02:39 AM,6.9,125.83,14,2.7,020 km S 89° W of Lupon (Davao Oriental)
30 August 2018 - 02:32 AM,13.53,123.94,24,1.8,032 km S 79° W of Virac (Catanduanes)
29 August 2018 - 11:10 PM,11.9,124.21,1,2.2,020 km N 49° W of Maripipi (Biliran)
29 August 2018 - 10:09 PM,10.18,125.25,33,1.9,010 km S 03° W of Anahawan (Southern Leyte)
29 August 2018 - 10:08 PM,5.98,126.72,86,2.6,103 km S 44° E of Governor Generoso (Davao Oriental)
29 August 2018 - 09:31 PM,6.85,126.3,33,3.5,014 km S 38° E of Mati (Davao Oriental)
29 August 2018 - 09:30 PM,10.57,126.22,16,2.7,063 km N 15° E of Burgos (Surigao Del Norte)
29 August 2018 - 09:02 PM,15.69,121.84,17,2.2,030 km S 75° E of Baler (Aurora)
29 August 2018 - 08:28 PM,10.97,126.21,6,3,054 km S 82° E of Guiuan (Eastern Samar)
29 August 2018 - 08:28 PM,16.9,120.12,9,3.4,028 km N 80° W of Luna (La Union)
29 August 2018 - 07:53 PM,6.28,126.33,52,2.1,050 km S 35° E of Governor Generoso (Davao Oriental)
29 August 2018 - 07:15 PM,9.66,124.88,7,2.7,036 km S 75° E of Anda (Bohol)
29 August 2018 - 03:22 PM,4.12,126.21,51,3.6,167 km S 29° E of Sarangani (Davao Occidental)
29 August 2018 - 02:11 PM,10.39,125.14,1,2.6,007 km S 83° W of Hinunangan (Southern Leyte)
29 August 2018 - 01:28 PM,11.36,125.6,18,2.9,005 km N 22° W of Hernani (Eastern Samar)
29 August 2018 - 11:01 AM,5.3,127.08,71,4.3,187 km S 37° E of Governor Generoso (Davao Oriental)
29 August 2018 - 07:52 AM,6.6,126.65,11,2.5,054 km S 25° E of Tarragona (Davao Occidental)
29 August 2018 - 05:38 AM,5.86,126.06,128,2.1,049 km S 87° E of Jose Abad Santos (Davao Occidental)
29 August 2018 - 05:05 AM,13.5,120.06,90,1.8,032 km S 40° W of Looc (Oriental Mindoro)
29 August 2018 - 04:20 AM,6.54,126.28,24,2.2,026 km S 61° E of Governor Generoso (Davao Oriental)
29 August 2018 - 04:11 AM,10.35,125.29,51,1.6,009 km N 24° E of Anahawan (Southern Leyte)
