Date - Time,Lat,Long,Depth,Mag,Location
31 March 2020 - 11:38 PM,6.67,125.88,11,2.4,022 km N 86° W of Governor Generoso (Davao Oriental)
31 March 2020 - 10:44 PM,14.09,122.65,2,1.9,026 km S 36° W of Paracale (Camarines Norte)
31 March 2020 - 10:24 PM,11.4,124.52,1,2.4,005 km N 52° E of Leyte (Leyte)
31 March 2020 - 09:45 PM,9,126.55,15,2.8,028 km N 73° E of Cagwait (Surigao Del Sur)
31 March 2020 - 09:20 PM,13.67,120.93,9,2.2,007 km N 77° E of Tingloy (Batangas)
31 March 2020 - 08:45 PM,13.73,123.98,15,2.2,005 km S 62° E of Caramoan (Camarines Sur)
31 March 2020 - 07:22 PM,6.49,124.97,25,2.1,007 km S 19° E of Lutayan (Sultan Kudarat)
31 March 2020 - 07:22 PM,6.48,124.98,29,2,008 km S 26° E of Lutayan (Sultan Kudarat)
31 March 2020 - 05:28 PM,4.19,125.62,169,3.8,138 km S 07° E of Sarangani (Davao Occidental)
31 March 2020 - 03:27 PM,4.65,125.02,20,4.5,100 km S 30° W of Sarangani (Davao Occidental)
31 March 2020 - 02:48 PM,4.49,124.89,345,3.3,122 km S 32° W of Sarangani (Davao Occidental)
31 March 2020 - 01:05 PM,10.08,123.32,8,1.4,007 km S 49° E of Guihulngan (Negros Oriental)
31 March 2020 - 01:04 PM,10.09,123.33,5,1.5,007 km S 45° E of Guihulngan (Negros Oriental)
31 March 2020 - 11:45 AM,6.58,125.22,4,2.7,008 km S 05° E of Kiblawan (Davao Del Sur)
31 March 2020 - 10:57 AM,12.97,125.19,15,3,048 km N 23° E of Laoang (Northern Samar)
31 March 2020 - 10:19 AM,14.17,120.46,116,2.2,021 km N 61° W of Nasugbu (Batangas)
31 March 2020 - 09:55 AM,13.6,120.55,22,1.9,022 km N 24° E of Paluan (Occidental Mindoro)
31 March 2020 - 08:24 AM,6.4,126.36,48,2.4,042 km S 49° E of Governor Generoso (Davao Oriental)
