Date - Time,Lat,Long,Depth,Mag,Location
31 December 2020 - 11:18 PM,5.17,125.25,23,3.2,033 km S 36° W of Sarangani (Davao Occidental)
31 December 2020 - 10:21 PM,17.37,120.61,10,2.7,012 km S 53° W of Manabo (Abra)
31 December 2020 - 09:59 PM,6,124.88,23,2.2,020 km N 41° W of Maasim (Sarangani)
31 December 2020 - 08:01 PM,10.22,126.09,9,2,022 km N 04° E of Burgos (Surigao Del Norte)
31 December 2020 - 06:09 PM,4.48,126.41,6,3.1,151 km S 47° E of Sarangani (Davao Occidental)
31 December 2020 - 05:20 PM,9.72,123.87,11,3.6,007 km N 08° E of City Of Tagbilaran (Bohol)
31 December 2020 - 05:01 PM,8.59,126.6,26,2.3,038 km N 50° E of Hinatuan (Surigao Del Sur)
31 December 2020 - 03:14 PM,13.47,122.29,1,2.2,014 km S 62° W of Mulanay (Quezon)
31 December 2020 - 02:50 PM,9.89,122.91,7,2.8,017 km S 42° E of City Of Kabankalan (Negros Occidental)
31 December 2020 - 01:53 PM,13.78,120.57,83,2.1,009 km S 46° W of Calatagan (Batangas)
31 December 2020 - 12:57 PM,13.75,120.58,95,2.8,011 km S 31° W of Calatagan (Batangas)
31 December 2020 - 12:45 PM,5.65,125.34,3,3.4,028 km N 20° W of Sarangani (Davao Occidental)
31 December 2020 - 12:41 PM,5.23,126.68,71,2,137 km S 56° E of Jose Abad Santos (Davao Occidental)
31 December 2020 - 12:36 PM,5.49,125.36,5,2.8,011 km N 39° W of Sarangani (Davao Occidental)
31 December 2020 - 12:29 PM,5.39,125.42,18,3.2,002 km S 03° E of Sarangani (Davao Occidental)
31 December 2020 - 11:41 AM,13.58,120.67,97,2.6,016 km N 21° W of Abra De Ilog (Occidental Mindoro)
31 December 2020 - 10:16 AM,7.59,126.31,7,2.1,028 km N 87° W of Baganga (Davao Oriental)
31 December 2020 - 09:22 AM,11.34,124.62,3,2.4,015 km S 78° E of Leyte (Leyte)
31 December 2020 - 08:59 AM,5.2,125.2,13,2.4,034 km S 46° W of Sarangani (Davao Occidental)
31 December 2020 - 07:37 AM,9.83,125.75,139,2.4,013 km S 41° E of Cagdianao (Dinagat Islands)
31 December 2020 - 07:02 AM,5.02,125.36,8,4.2,044 km S 08° W of Sarangani (Davao Occidental)
31 December 2020 - 06:35 AM,5.34,125.27,11,3.4,019 km S 66° W of Sarangani (Davao Occidental)
31 December 2020 - 05:27 AM,7.62,127.17,8,3.5,067 km N 85° E of Baganga (Davao Oriental)
31 December 2020 - 05:08 AM,9.86,125.44,30,2,010 km N 38° W of City Of Surigao (Surigao Del Norte)
31 December 2020 - 05:03 AM,5.05,125.39,35,3.3,040 km S 05° W of Sarangani (Davao Occidental)
31 December 2020 - 04:42 AM,5.52,125.42,2,3.2,012 km N 02° W of Sarangani (Davao Occidental)
31 December 2020 - 03:50 AM,5.44,125.34,11,3.3,009 km N 68° W of Sarangani (Davao Occidental)
31 December 2020 - 02:51 AM,8.93,126.45,27,2.7,019 km S 76° E of Bayabas (Surigao Del Sur)
31 December 2020 - 02:48 AM,16.42,122.14,7,2.1,016 km N 05° E of Casiguran (Aurora)
31 December 2020 - 02:32 AM,10.38,125.96,18,2.7,042 km N 87° E of Loreto (Dinagat Islands)
31 December 2020 - 01:39 AM,5.36,125.35,13,2.8,010 km S 52° W of Sarangani (Davao Occidental)
31 December 2020 - 12:51 AM,6.53,125.68,1,2.6,014 km N 31° E of Malita (Davao Occidental)
30 December 2020 - 11:43 PM,6.63,125.03,33,2.4,010 km S 49° E of Columbio (Sultan Kudarat)
30 December 2020 - 11:21 PM,10.18,122.66,10,2.4,023 km N 09° E of Cauayan (Negros Occidental)
30 December 2020 - 10:29 PM,6.62,125.85,18,2.4,025 km S 82° W of Governor Generoso (Davao Oriental)
30 December 2020 - 10:01 PM,9.67,122.43,27,2.6,011 km S 02° W of City Of Sipalay (Negros Occidental)
30 December 2020 - 09:27 PM,5.74,127.28,34,2.7,167 km S 53° E of Governor Generoso (Davao Oriental)
30 December 2020 - 09:21 PM,5.15,125.35,24,3.3,031 km S 15° W of Sarangani (Davao Occidental)
30 December 2020 - 08:11 PM,7.93,123.82,4,2.9,014 km S 13° E of Tubod (Lanao Del Norte)
