Date - Time,Lat,Long,Depth,Mag,Location
31 January 2020 - 11:50 PM,6.56,125.23,12,2.2,011 km S 10° E of Kiblawan (Davao Del Sur)
31 January 2020 - 11:46 PM,6.58,125.27,9,2.1,010 km S 35° E of Kiblawan (Davao Del Sur)
31 January 2020 - 11:02 PM,8.59,126.72,13,3.2,049 km N 59° E of Hinatuan (Surigao Del Sur)
31 January 2020 - 10:34 PM,6.62,125.27,13,3.6,007 km S 57° E of Kiblawan (Davao Del Sur)
31 January 2020 - 09:18 PM,6.57,125.26,16,2.8,010 km S 70° W of Sulop (Davao Del Sur)
31 January 2020 - 09:17 PM,10.19,126.12,18,2.9,024 km N 40° E of Burgos (Surigao Del Norte)
31 January 2020 - 07:35 PM,6.58,125.21,17,3.1,008 km S 07° W of Kiblawan (Davao Del Sur)
31 January 2020 - 07:18 PM,6.59,125.26,13,4.9,015 km S 09° E of Matanao (Davao Del Sur)
31 January 2020 - 05:46 PM,10.46,126.49,3,3.5,067 km N 43° E of Burgos (Surigao Del Norte)
31 January 2020 - 03:42 PM,5.22,126.14,37,3.1,077 km S 74° E of Sarangani (Davao Occidental)
31 January 2020 - 03:16 PM,10.83,125.76,33,3,023 km S 10° E of Guiuan (Eastern Samar)
31 January 2020 - 02:37 PM,10.66,124.42,30,2.1,003 km N 21° E of Poro (Cebu)
31 January 2020 - 01:54 PM,6.79,125,8,2.6,007 km S 72° E of Columbio (Sultan Kudarat)
31 January 2020 - 11:55 AM,17.49,122.53,25,1.9,030 km N 54° E of Divilacan (Isabela)
31 January 2020 - 11:20 AM,13.15,120.08,30,1.6,051 km S 55° W of Paluan (Occidental Mindoro)
31 January 2020 - 09:51 AM,4.78,124.33,45,3,138 km S 14° W of Kiamba (Sarangani)
31 January 2020 - 09:29 AM,15.24,119.73,102,2,029 km S 42° W of Palauig (Zambales)
31 January 2020 - 06:16 AM,16.01,118.94,25,3.2,092 km S 82° W of Agno (Pangasinan)
31 January 2020 - 04:14 AM,5.76,126.74,3,2.9,123 km S 37° E of Governor Generoso (Davao Oriental)
31 January 2020 - 03:21 AM,6.42,126.32,40,2.2,037 km S 46° E of Governor Generoso (Davao Oriental)
31 January 2020 - 03:10 AM,7.12,123.62,26,1.9,043 km S 32° E of Tabina (Zamboanga Del Sur)
31 January 2020 - 02:39 AM,13.52,120.83,1,2.9,013 km N 51° E of Abra De Ilog (Occidental Mindoro)
31 January 2020 - 02:19 AM,6.61,125.16,2,2.5,008 km S 52° W of Kiblawan (Davao Del Sur)
