Date - Time,Lat,Long,Depth,Mag,Location
31 Dec 2017 - 11:56 PM,5.78,125.06,5,2.4,011  km S 34° E of Maasim (Sarangani)
31 Dec 2017 - 11:28 PM,5.61,124.94,18,2.1,028  km S 15° W of Maasim (Sarangani)
31 Dec 2017 - 11:27 PM,5.77,125.08,22,1.9,013  km S 38° E of Maasim (Sarangani)
31 Dec 2017 - 11:22 PM,5.63,124.97,6,2.2,026  km S 09° W of Maasim (Sarangani)
31 Dec 2017 - 10:53 PM,5.34,124.87,32,5.2,060  km S 14° W of Maasim (Sarangani)
31 Dec 2017 - 09:32 PM,6.13,126.03,135,2.9,038  km S 78° E of Don Marcelino (Davao Occidental)
31 Dec 2017 - 07:48 PM,13.65,120.06,34,1.8,022  km S 68° W of Looc (Occidental Mindoro)
31 Dec 2017 - 12:43 PM,7.67,124.46,21,2.1,026  km N 46° E of Barira (Maguindanao)
31 Dec 2017 - 05:17 AM,12.71,121.24,15,3.2,028  km S 56° W of Bansud (Occidental Mindoro)
31 Dec 2017 - 01:05 AM,9.24,126.36,20,2.4,023  km S 79° E of Cortes (Surigao del Sur)
30 Dec 2017 - 11:15 PM,19.06,121.38,2,2.6,026  km S 20° W of Calayan (Cagayan)
30 Dec 2017 - 07:32 PM,18.56,121.87,1,2.7,030  km N 66° W of Santa Ana (Cagayan)
30 Dec 2017 - 06:41 PM,16.91,120.33,29,2.2,008  km N 41° W of Luna (La Union)
30 Dec 2017 - 06:36 PM,6.14,125.1,1,2.9,008  km N 62° W of General Santos City
30 Dec 2017 - 04:19 PM,14.17,120.43,117,2.4,023  km N 64° W of Nasugbu (Batangas)
30 Dec 2017 - 03:32 PM,19.15,121.28,9,2.4,024  km S 54° W of Calayan (Cagayan)
30 Dec 2017 - 01:04 PM,9.45,125.88,119,2.9,012  km N 42° W of Carrascal (Surigao Del Sur)
30 Dec 2017 - 11:57 AM,9.9,126.35,16,2.4,025  km N 58° E of General Luna (Surigao Del Norte)
30 Dec 2017 - 09:57 AM,8.55,125.9,3,3.2,003  km S 24° W of Prosperidad (Agusan Del Sur)
30 Dec 2017 - 09:24 AM,10,126.07,11,4.5,003  km S 19° W of Burgos (Surigao Del Norte)
30 Dec 2017 - 06:19 AM,14.49,119.72,28,2.2,062  km S 70° W of Morong (Bataan)
30 Dec 2017 - 05:42 AM,12.35,123.73,3,2.7,008  km N 79° E of Mobo (Masbate)
30 Dec 2017 - 01:22 AM,9.79,125.47,21,2,003  km N 80° W of Surigao City (Surigao Del Norte)
29 Dec 2017 - 10:46 PM,8.62,125.82,10,3.4,011  km N 67° W of Prosperidad (Agusan Del Sur)
29 Dec 2017 - 08:16 PM,13.58,120.45,28,2.6,018  km N 07° W of Paluan (Occidental Mindoro)
29 Dec 2017 - 05:06 PM,6.19,125.81,178,2.4,012  km S 88° E of Don Marcelino (Davao Occidental)
29 Dec 2017 - 06:11 AM,18.21,120.46,32,2.5,014  km N 83° W of Laoag City (Ilocos Norte)
29 Dec 2017 - 05:54 AM,6.22,126.83,30,2.9,100  km S 25° E of Tarragona (Davao Oriental)
29 Dec 2017 - 05:37 AM,6.67,126.84,26,2.7,061  km S 46° E of Tarragona (Davao Oriental)
29 Dec 2017 - 03:22 AM,16.55,122.28,11,2.4,004  km N 36° E of Dinapigue (Isabela)
29 Dec 2017 - 01:59 AM,11.4,124.7,15,2.5,013  km N 29° E of Capoocan (Leyte)
29 Dec 2017 - 01:20 AM,3.34,127.35,56,5.7,312  km S 42° E of Sarangani (Davao Occicental)
29 Dec 2017 - 12:57 AM,5.41,126.12,69,2.2,072  km S 88° E of Sarangani (Davao Occidental)
28 Dec 2017 - 11:08 PM,6.84,125.75,25,2.8,028  km S 08° E of Samal (Island Garden City Of Samal) (Davao Del Norte)
28 Dec 2017 - 09:44 PM,2.88,126.4,4,3.5,301  km S 20° E of Sarangani (Davao Occidental)
28 Dec 2017 - 09:40 PM,16.84,119.73,31,2.1,052  km N 19° W of Bolinao (Pangasinan)
28 Dec 2017 - 07:06 PM,9.59,126.79,17,3.1,073  km S 73° E of General Luna (Surigao Del Norte)
28 Dec 2017 - 01:11 PM,16.41,120.99,2,2.3,011  km S 10° W of Ambaguio (Nueva Vizcaya)
28 Dec 2017 - 07:34 AM,5,126.5,30,4.2,123  km S 66° E of Sarangani (Davao Occidental)
27 Dec 2017 - 07:57 PM,12.39,123.67,9,2.5,006  km N 57° E of Masbate (Masbate)
27 Dec 2017 - 07:41 PM,15.09,118.62,8,2.2,143  km S 74° W of Palauig (Zambales)
27 Dec 2017 - 06:20 PM,9.47,126.29,30,2.3,037  km N 68° E of Cantilan (Surigao Del Sur)
27 Dec 2017 - 12:13 PM,18.61,121.09,20,2.2,001  km N 58° E of Claveria (Cagayan)
27 Dec 2017 - 08:57 AM,10.3,126.11,7,3.3,031  km N 07° W of Burgos (Surigao Del Norte)
27 Dec 2017 - 08:48 AM,17.71,121.09,9,2.4,018  km S 71° W of Tineg (Abra)
27 Dec 2017 - 05:48 AM,17.61,119.73,16,3.3,067  km N 87° W of Santa Catalina (Ilocos Sur)
27 Dec 2017 - 02:25 AM,7.7,124.81,1,3,010  km N 45° E of Wao (Lanao del Sur)
27 Dec 2017 - 12:35 AM,17.99,121.03,29,2.5,016  km S 76° W of Kabugao (Apayao)
26 Dec 2017 - 09:28 PM,16.44,122.22,12,2.2,006  km N 04° E of Dilasag (Aurora)
26 Dec 2017 - 07:30 PM,14.47,118.91,33,3.2,137  km S 67° W of San Antonio (Zambales)
26 Dec 2017 - 05:15 PM,9.87,125.52,160,3,010  km N 17° E of Surigao City (Surigao Del Norte)
26 Dec 2017 - 12:17 PM,16.37,120.92,12,3.8,002  km N 68° E of Kayapa (Nueva Vizcaya)
26 Dec 2017 - 12:12 PM,16.39,120.92,8,4.8,004  km N 39° E of Kayapa (Nueva Vizcaya)
26 Dec 2017 - 08:33 AM,17.98,121.75,13,3.5,006  km N 21° W of Baggao (Cagayan)
26 Dec 2017 - 07:04 AM,6.59,126.38,46,3.1,034  km S 78° E of Governor Generoso (Davao Oriental)
26 Dec 2017 - 02:49 AM,8.06,127.37,7,3.3,103  km N 59° E of Baganga (Davao Oriental)
26 Dec 2017 - 12:11 AM,10.28,126,1,3.1,030  km N 015° W of Burgos (Surigao del Norte)
25 Dec 2017 - 11:51 PM,8.13,122.6,55,3,011  km N 55° E of Labason (Zamboanga del Norte)
