Date - Time,Lat,Long,Depth,Mag,Location
31 January 2022 - 10:46 PM,7.88,126.28,10,1.9,021 km N 62Åã W of Cateel (Davao Oriental)
31 January 2022 - 10:43 PM,8.82,126.46,31,2.5,020 km S 56Åã E of Cagwait (Surigao Del Sur)
31 January 2022 - 10:42 PM,9.44,126.58,23,2.3,046 km N 66Åã E of Cortes (Surigao Del Sur)
31 January 2022 - 10:20 PM,6.33,126.31,9,3,044 km S 37Åã E of Governor Generoso (Davao Oriental)
31 January 2022 - 09:54 PM,8.76,125.6,25,2.2,011 km S 58Åã W of Sibagat (Agusan Del Sur)
31 January 2022 - 08:33 PM,18.11,120.97,1,1.8,016 km S 79Åã E of Carasi (Ilocos Norte)
31 January 2022 - 07:10 PM,6.31,126.43,10,2.8,055 km S 46Åã E of Governor Generoso (Davao Oriental)
31 January 2022 - 05:11 PM,11.08,126.03,26,2.5,034 km N 81Åã E of Guiuan (Eastern Samar)
31 January 2022 - 05:09 PM,10.5,126.01,10,2.4,049 km N 72Åã E of Loreto (Dinagat Islands)
31 January 2022 - 04:39 PM,10.64,124.48,34,2,010 km S 89Åã E of San Francisco (Cebu)
31 January 2022 - 10:24 AM,6.83,125.72,53,3.3,029 km S 26Åã E of City of Davao (Davao Del Sur)
31 January 2022 - 10:22 AM,7.05,125.57,58,2.1,004 km S 64Åã W of City Of Davao (Davao Del Sur)
31 January 2022 - 07:26 AM,13.65,120.61,88,1.7,020 km S 07Åã W of Calatagan (Batangas)
31 January 2022 - 06:50 AM,13.75,120.63,97,1.8,009 km S 04Åã W of Calatagan (Batangas)
31 January 2022 - 06:12 AM,13.2,121.03,35,2,025 km S 39Åã W of City Of Calapan (Oriental Mindoro)
31 January 2022 - 06:08 AM,6.81,125.78,29,2.3,036 km N 62Åã W of Governor Generoso (Davao Oriental)
31 January 2022 - 06:02 AM,5.93,126.47,81,3.6,092 km S 29Åã E of Governor Generoso (Davao Oriental)
31 January 2022 - 05:03 AM,10.41,125.93,21,2.1,038 km N 82Åã E of Loreto (Dinagat Islands)
31 January 2022 - 05:02 AM,10.44,125.89,18,3.8,036 km N 75Åã E of Loreto (Dinagat Islands)
31 January 2022 - 04:55 AM,10.51,125.74,13,2.5,024 km N 46Åã E of Loreto (Dinagat Islands)
31 January 2022 - 03:35 AM,13.73,120.56,108,1.9,014 km S 37Åã W of Calatagan (Batangas)
31 January 2022 - 02:54 AM,12.82,121.14,3,2.3,039 km N 78Åã W of Bongabong (Oriental Mindoro)
31 January 2022 - 01:31 AM,7.69,124.81,1,3,009 km S 53Åã E of Kalilangan (Bukidnon)
31 January 2022 - 12:14 AM,7.7,124.83,2,2.7,015 km N 39Åã W of Kadingilan (Bukidnon)
30 January 2022 - 11:58 PM,16.38,121.43,19,2,015 km N 82Åã E of Kayapa (Nueva Vizcaya)
30 January 2022 - 11:42 PM,14.03,124.72,33,2.2,045 km N 52Åã E of Gigmoto (Catanduanes)
30 January 2022 - 11:07 PM,7.61,126.71,14,2.7,017 km N 77Åã E of Baganga (Davao Oriental)
30 January 2022 - 10:56 PM,11.86,124.18,1,2.3,014 km S 77Åã E of Pio V. Corpuz (Masbate)
30 January 2022 - 10:45 PM,7.68,124.82,1,3.7,014 km N 48Åã W of Kadingilan (Bukidnon)
30 January 2022 - 10:02 PM,8.23,126.24,97,2.5,008 km N 75Åã W of City Of Bislig (Surigao Del Sur)
30 January 2022 - 09:21 PM,8.15,126.26,48,1.9,012 km N 12Åã W of Lingig (Surigao Del Sur)
30 January 2022 - 09:05 PM,15.28,118.24,28,2.8,052 km N 75Åã E of Bajo De Masinloc (Masinloc) (Zambales)
30 January 2022 - 06:45 PM,15.45,122.28,20,2.4,076 km N 26Åã E of Burdeos (Quezon)
30 January 2022 - 06:44 PM,18.07,121.12,10,2.5,008 km N 57Åã W of Kabugao (Apayao)
30 January 2022 - 05:58 PM,3.81,125.71,33,3.6,180 km S 10Åã E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 January 2022 - 01:53 PM,11.28,124.57,5,2.1,010 km N 07Åã E of Kananga (Leyte)
30 January 2022 - 01:47 PM,8.85,126.56,23,2.9,029 km N 80Åã E of Marihatag (Surigao Del Sur)
30 January 2022 - 12:54 PM,10.51,124.34,8,1.6,016 km S 18Åã W of San Francisco (Cebu)
30 January 2022 - 12:46 PM,16.27,120.51,21,3.1,005 km N 24Åã E of Rosario (La Union)
30 January 2022 - 09:42 AM,11.34,124.3,19,2.3,009 km S 40Åã W of San Isidro (Leyte)
30 January 2022 - 09:35 AM,15.4,118.35,17,3.5,068 km N 67Åã E of Bajo De Masinloc (Masinloc) (Zambales)
30 January 2022 - 09:05 AM,2.96,126.49,157,4.1,296 km S 24Åã E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 January 2022 - 08:38 AM,15.51,118.45,15,3.6,082 km N 58Åã E of Bajo De Masinloc (Masinloc) (Zambales)
30 January 2022 - 08:21 AM,15.48,118.35,27,3.2,072 km N 60Åã E of Bajo De Masinloc (Masinloc) (Zambales)
30 January 2022 - 08:17 AM,15.5,118.41,14,5.2,080 km N 61Åã E of Bajo De Masinloc (Masinloc) (Zambales)
30 January 2022 - 08:16 AM,7.89,122.87,30,1.9,013 km S 16Åã E of Godod (Zamboanga Del Norte)
30 January 2022 - 07:03 AM,6.66,126.57,28,2.9,045 km S 18Åã E of Tarragona (Davao Oriental)
30 January 2022 - 07:01 AM,7.98,126.78,30,2.2,041 km N 59Åã E of Cateel (Davao Oriental)
30 January 2022 - 04:46 AM,11.75,124.23,13,3,013 km S 78Åã W of Maripipi (Biliran)
30 January 2022 - 04:15 AM,6.85,124.87,13,2.5,002 km NortÅã 00 of Tulunan (Cotabato)
