Date - Time,Lat,Long,Depth,Mag,Location
 30 September 2022 - 11:11 PM ,17.72,120.63,27,2.1,005 km N 49° W of Danglas (Abra)
30 September 2022 - 11:05 PM ,9.54,125.99,27,2,009 km S 15° E of Socorro (Surigao Del Norte)
30 September 2022 - 10:54 PM ,18.17,120.46,31,1.7,014 km S 79° W of City Of Laoag (Ilocos Norte)
30 September 2022 - 10:31 PM ,9.3,126.7,13,4.3,056 km N 87° E of Cortes (Surigao Del Sur)
30 September 2022 - 10:02 PM ,15.96,119.75,19,2.2,015 km S 77° W of Dasol (Pangasinan)
30 September 2022 - 09:55 PM ,20.04,121.61,26,3.1,043 km S 40° W of Sabtang (Batanes)
30 September 2022 - 09:45 PM ,18.93,120.73,9,1.6,042 km N 09° W of Pagudpud (Ilocos Norte)
30 September 2022 - 09:30 PM ,4.56,125.79,133,3,103 km S 24° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 September 2022 - 09:17 PM ,13.54,120.08,12,2.3,027 km S 42° W of Looc (Occidental Mindoro)
30 September 2022 - 07:30 PM ,13.44,120.82,1,2.1,010 km S 86° E of Abra De Ilog (Occidental Mindoro)
30 September 2022 - 05:45 PM ,8.11,126.59,29,2,021 km N 66° E of Lingig (Surigao Del Sur)
30 September 2022 - 05:40 PM ,19.11,120.92,1,2.6,030 km West of Dalupiri Island (Calayan) (Cagayan)
30 September 2022 - 03:16 PM ,12.39,124.66,27,3.6,011 km N 21° E of Lope De Vega (Northern Samar)
30 September 2022 - 02:46 PM ,9.3,126.63,12,2.5,048 km N 87° E of Cortes (Surigao Del Sur)
30 September 2022 - 02:15 PM ,8.32,126.73,13,2.8,043 km S 83° E of Hinatuan (Surigao Del Sur)
30 September 2022 - 01:47 PM ,9.41,126.13,22,1.9,018 km N 13° W of Cortes (Surigao Del Sur)
30 September 2022 - 01:05 PM ,19.11,121.19,22,2,002 km N 70° W of Dalupiri Island (Calayan) (Cagayan)
30 September 2022 - 01:03 PM ,9.38,126.66,15,3.4,053 km N 77° E of Cortes (Surigao Del Sur)
30 September 2022 - 11:47 AM ,18.76,119.95,27,2.7,078 km N 70° W of Burgos (Ilocos Norte)
30 September 2022 - 11:20 AM ,17.9,122.39,24,2.2,055 km N 89° E of Baggao (Cagayan)
30 September 2022 - 10:59 AM ,9.32,126.7,11,4.6,056 km N 85° E of Cortes (Surigao Del Sur)
30 September 2022 - 10:53 AM ,8.98,126.34,28,1.9,006 km N 75° E of Bayabas (Surigao Del Sur)
30 September 2022 - 10:44 AM ,7.34,125.73,12,3.3,009 km N 43° E of City Of Panabo (Davao Del Norte)
30 September 2022 - 10:32 AM ,9.29,126.69,12,2.4,055 km N 89° E of Cortes (Surigao Del Sur)
30 September 2022 - 10:29 AM ,9.32,126.57,11,3.6,042 km N 83° E of Cortes (Surigao Del Sur)
30 September 2022 - 09:09 AM ,9.29,126.72,10,3.5,058 km N 88° E of Cortes (Surigao Del Sur)
30 September 2022 - 06:26 AM ,9.31,126.31,19,2.2,014 km N 76° E of Cortes (Surigao Del Sur)
30 September 2022 - 06:24 AM ,8.76,122.69,29,3.5,051 km N 46° W of Jose Dalman (Zamboanga Del Norte)
30 September 2022 - 05:26 AM ,13.49,120.8,4,2.2,009 km N 54° E of Abra De Ilog (Occidental Mindoro)
30 September 2022 - 05:16 AM ,10.22,126.22,16,2.6,028 km N 35° E of Burgos (Surigao Del Norte)
30 September 2022 - 03:45 AM ,9.25,126.71,8,2.7,056 km N 56° E of Bayabas (Surigao Del Sur)
30 September 2022 - 03:25 AM ,9.93,126.13,1,1.7,005 km S 84° E of San Isidro (Surigao Del Sur)
30 September 2022 - 03:23 AM ,9.3,126.08,28,1.5,008 km N 15° E of Lanuza (Surigao Del Sur)
30 September 2022 - 02:32 AM ,7.68,124.76,1,2.1,006 km S 17° E of Kalilangan (Bukidnon)
30 September 2022 - 02:12 AM ,10.3,125.85,34,1.5,031 km S 77° E of Loreto (Dinagat Islands)
30 September 2022 - 01:55 AM ,17.57,120.73,2,1.5,003 km N 23° E of Bucay (Abra)
30 September 2022 - 01:41 AM ,9.55,126.24,24,1.5,027 km S 20° E of General Luna (Surigao Del Norte)
30 September 2022 - 01:02 AM ,15.75,121.81,19,2.7,027 km S 87° E of Baler (Aurora)
30 September 2022 - 12:27 AM ,11.1,126.66,43,2.2,103 km N 86° E of Guiuan (Eastern Samar)
30 September 2022 - 12:21 AM ,9.28,126.31,32,1.9,013 km N 86° E of Cortes (Surigao Del Sur)
30 September 2022 - 12:18 AM ,17.96,120.73,59,2.1,008 km S 73° E of Banna (Ilocos Norte)
30 September 2022 - 12:06 AM ,9.31,126.83,7,2.2,071 km N 58° E of Bayabas (Surigao Del Sur)
29 September 2022 - 11:57 PM ,10,126.46,18,2.3,042 km N 81° E of San Isidro (Surigao Del Norte)
29 September 2022 - 11:40 PM ,9.31,126.86,4,3.9,074 km N 87° E of Cortes (Surigao Del Sur)
29 September 2022 - 10:58 PM ,9.21,126.47,29,2.1,031 km S 76° E of Cortes (Surigao Del Sur)
29 September 2022 - 10:56 PM ,8.48,126.32,62,2.4,012 km N 07° W of Hinatuan (Surigao Del Sur)
29 September 2022 - 10:09 PM ,10.38,125.12,32,2.2,009 km S 78° W of Hinunangan (Southern Leyte)
29 September 2022 - 10:02 PM ,12.87,124.92,15,2.9,034 km N 02° W of Pambujan (Northern Samar)
29 September 2022 - 09:57 PM ,9.11,121.97,33,3,081 km S 66° W of Basay (Negros Oriental)
29 September 2022 - 09:54 PM ,9.27,126.74,9,2.7,060 km S 89° E of Cortes (Surigao Del Sur)
29 September 2022 - 09:14 PM ,9.23,126.78,2,3.5,062 km N 62° E of Bayabas (Surigao Del Sur)
29 September 2022 - 09:10 PM ,12.84,123,14,1.7,027 km S 76° W of Claveria (Masbate)
29 September 2022 - 08:43 PM ,9.08,125.13,22,2.3,008 km N 41° W of Magsaysay (Misamis Oriental)
29 September 2022 - 08:26 PM ,5.99,125.97,145,2.9,037 km N 76° E of Jose Abad Santos (Davao Occidental)
29 September 2022 - 07:58 PM ,7.08,126.88,13,3.2,040 km S 69° E of Manay (Davao Oriental)
29 September 2022 - 07:55 PM ,13.72,120.96,1,2.1,004 km S 30° E of Mabini (Batangas)
29 September 2022 - 07:18 PM ,15.89,120.86,8,2.3,004 km S 25° E of Umingan (Pangasinan)
29 September 2022 - 03:43 PM ,9.31,126.5,11,3.1,034 km N 84° E of Cortes (Surigao Del Sur)
29 September 2022 - 01:51 PM ,13.34,121.21,30,1.8,005 km S 33° E of City Of Calapan (Oriental Mindoro)
29 September 2022 - 12:12 PM ,15.13,122.22,5,2.3,042 km N 40° E of Burdeos (Quezon)
29 September 2022 - 12:09 PM ,9.06,126.65,34,2.2,041 km N 75° E of Bayabas (Surigao Del Sur)
29 September 2022 - 07:41 AM ,9.27,126.82,1,3.2,068 km N 61° E of Bayabas (Surigao Del Sur)
29 September 2022 - 06:48 AM ,9.27,126.66,7,3.4,051 km S 89° E of Cortes (Surigao Del Sur)
29 September 2022 - 06:31 AM ,9.23,126.46,20,2.3,030 km S 80° E of Cortes (Surigao Del Sur)
29 September 2022 - 05:59 AM ,14.28,120.37,115,2.2,021 km S 38° W of Mariveles (Bataan)
29 September 2022 - 05:52 AM ,9.25,126.4,24,2.4,023 km S 84° E of Cortes (Surigao Del Sur)
29 September 2022 - 05:37 AM ,9.3,126.76,11,2.5,063 km N 88° E of Cortes (Surigao Del Sur)
29 September 2022 - 05:32 AM ,8.92,126.02,29,1.7,003 km S 41° W of San Miguel (Surigao Del Sur)
29 September 2022 - 05:04 AM ,9.29,126.62,12,2.3,047 km N 88° E of Cortes (Surigao Del Sur)
29 September 2022 - 04:56 AM ,6.29,126.39,57,2.3,053 km S 41° E of Governor Generoso (Davao Oriental)
28 September 2022 - 04:52 AM ,9.3,126.65,10,2.8,051 km N 86° E of Cortes (Surigao Del Sur)
29 September 2022 - 04:19 AM ,19.55,121.57,45,2.4,033 km N 17° E of Calayan (Cagayan)
29 September 2022 - 03:57 AM ,17.15,120,1,2.5,047 km S 88° W of City Of Candon (Ilocos Sur)
29 September 2022 - 03:40 AM ,18.18,120.9,30,1.8,010 km N 66° E of Carasi (Ilocos Norte)
29 September 2022 - 02:56 AM ,9.28,126.61,15,3,046 km N 89° E of Cortes (Surigao Del Sur)
29 September 2022 - 02:49 AM ,18.13,120.88,10,3.3,006 km S 83° E of Carasi (Ilocos Norte)
29 September 2022 - 02:36 AM ,18.17,120.91,16,2.1,009 km N 71° E of Carasi (Ilocos Norte)
29 September 2022 - 02:32 AM ,10.4,126.36,11,3,052 km N 37° E of Burgos (Surigao Del Norte)
29 September 2022 - 02:22 AM ,8.18,125.9,30,1.8,004 km S 88° E of Loreto (Agusan Del Sur)
29 September 2022 - 02:20 AM ,9.22,125.85,117,2.5,013 km S 70° W of Madrid (Surigao Del Sur)
29 September 2022 - 02:19 AM ,17.33,120.58,1,2.1,009 km S 85° E of Burgos (Ilocos Sur)
29 September 2022 - 01:53 AM ,5.92,126.61,1,3.7,101 km S 36° E of Governor Generoso (Davao Oriental)
29 September 2022 - 01:19 AM ,17.78,120.58,5,2.7,014 km N 72° E of San Juan (Ilocos Sur)
29 September 2022 - 01:16 AM ,5.67,125.56,38,3.5,028 km S 19° W of Jose Abad Santos (Davao Occidental)
29 September 2022 - 01:12 AM ,18.98,121.13,12,3,016 km S 31° W of Dalupiri Island (Calayan) (Cagayan)
29 September 2022 - 01:00 AM ,8.89,126.41,24,2.2,012 km S 72° E of Cagwait (Surigao Del Sur)
29 September 2022 - 12:51 AM ,17.2,121.54,21,2.8,008 km S 80° W of Mallig (Isabela)
29 September 2022 - 12:46 AM ,9.4,126.85,1,2.4,074 km N 79° E of Cortes (Surigao Del Sur)
29 September 2022 - 12:22 AM ,7.57,122.83,33,1.4,004 km S 60° E of Payao (Zamboanga Sibugay)
29 September 2022 - 12:21 AM ,8.52,127.19,4,2.1,096 km N 80° E of Hinatuan (Surigao Del Sur)
28 September 2022 - 11:48 PM ,9.25,126.56,17,2.3,040 km S 86° E of Cortes (Surigao Del Sur)
28 September 2022 - 11:16 PM ,17.71,120.53,4,2.3,008 km S 64° E of San Juan (Ilocos Sur)
28 September 2022 - 11:02 PM ,16.13,120.91,32,1.7,004 km S 41° W of Santa Fe (Nueva Vizcaya)
28 September 2022 - 10:57 PM ,10.06,125.97,1,2.2,009 km N 57° W of Santa Monica (Surigao Del Norte)
28 September 2022 - 10:25 PM ,18.37,121.37,27,1.9,005 km N 22° E of Luna (Apayao)
28 September 2022 - 09:32 PM ,5.61,126.46,103,3.1,096 km S 70° E of Jose Abad Santos (Davao Occidental)
28 September 2022 - 09:31 PM ,9.91,125.97,12,2.1,004 km N 03° E of Del Carmen (Surigao Del Norte)
28 September 2022 - 09:09 PM ,17.73,120.55,3,2.7,010 km S 80° E of San Juan (Ilocos Sur)
28 September 2022 - 08:44 PM ,15.07,120.41,174,3.3,014 km S 89° W of Porac (Pampanga)
28 September 2022 - 08:11 PM ,17.53,120.62,19,2,005 km S 43° W of Peñarrubia (Abra)
28 September 2022 - 07:45 PM ,15.99,122.33,4,2.3,043 km S 67° E of Dinalungan (Aurora)
28 September 2022 - 06:10 PM ,9.28,126.53,12,3.3,037 km N 89° E of Cortes (Surigao Del Sur)
28 September 2022 - 05:08 PM ,9.35,126.6,8,3.1,045 km N 79° E of Cortes (Surigao Del Sur)
28 September 2022 - 05:01 PM ,17.12,121.51,28,1.6,011 km S 89° W of Roxas (Isabela)
28 September 2022 - 05:01 PM ,17.16,121.64,27,1.6,005 km N 29° E of Roxas (Isabela)
28 September 2022 - 04:49 PM ,9.3,126.82,5,3.3,069 km N 87° E of Cortes (Surigao Del Sur)
28 September 2022 - 04:48 PM ,9.02,125.97,27,2.4,011 km N 42° W of San Miguel (Surigao Del Sur)
28 September 2022 - 04:45 PM ,8.59,126.27,31,1.9,018 km S 17° E of San Agustin (Surigao Del Sur)
28 September 2022 - 02:41 PM ,17.17,121.57,22,2,006 km S 40° W of Mallig (Isabela)
28 September 2022 - 02:33 PM ,9.23,126.41,22,2.5,024 km S 78° E of Cortes (Surigao Del Sur)
28 September 2022 - 02:29 PM ,16.57,122.47,5,2.5,023 km N 77° E of Dinapigue (Isabela)
28 September 2022 - 02:22 PM ,9.31,126.49,9,3.4,032 km N 84° E of Cortes (Surigao Del Sur)
28 September 2022 - 01:29 PM ,10.12,125.86,22,2.7,023 km N 60° W of Santa Monica (Surigao Del Norte)
28 September 2022 - 01:21 PM ,13.57,120.62,100,2.2,018 km N 40° W of Abra De Ilog (Occidental Mindoro)
28 September 2022 - 12:48 PM ,9.06,126.58,19,2.3,049 km S 61° E of Cortes (Surigao Del Sur)
28 September 2022 - 12:29 PM ,17.16,121.54,15,3,009 km N 65° W of Roxas (Isabela)
28 September 2022 - 12:21 PM ,3.26,126.16,111,3.8,252 km S 19° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
28 September 2022 - 12:12 PM ,9.35,126.71,7,3.1,058 km N 82° E of Cortes (Surigao Del Sur)
28 September 2022 - 11:24 AM ,9.26,126.11,29,2.6,006 km N 66° E of Lanuza (Surigao Del Sur)
28 September 2022 - 10:55 AM ,16.99,121.5,20,1.7,008 km N 09° E of Alfonso Lista (Ifugao)
28 September 2022 - 10:46 AM ,9.4,126.7,1,2.7,058 km N 77° E of Cortes (Surigao Del Sur)
28 September 2022 - 10:39 AM ,9.33,126.72,8,4,059 km N 84° E of Cortes (Surigao Del Sur)
28 September 2022 - 10:30 AM ,17.58,120.62,15,3.3,003 km N 63° W of Peñarrubia (Abra)
28 September 2022 - 10:27 AM ,9.34,126.86,3,2.7,074 km N 84° E of Cortes (Surigao Del Sur)
28 September 2022 - 10:19 AM ,9.34,126.79,6,2.5,066 km N 84° E of Cortes (Surigao Del Sur)
28 September 2022 - 10:09 AM ,9.37,126.54,11,3.1,040 km N 75° E of Cortes (Surigao Del Sur)
28 September 2022 - 10:06 AM ,9.34,126.71,14,3,057 km N 83° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:52 AM ,9.26,126.54,16,2.1,038 km S 87° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:51 AM ,9.26,126.41,24,2.7,024 km S 86° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:43 AM ,9.35,126.51,9,2.9,035 km N 77° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:41 AM ,9.23,126.55,26,2.6,048 km N 78° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:37 AM ,9.3,126.88,17,2.5,076 km N 88° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:30 AM ,9.3,126.58,10,1.8,043 km N 86° E of Cortes (Surigao Del Sur)
28 September 2022 - 09:12 AM ,9.34,126.83,5,5.3,071 km N 85° E of Cortes (Surigao Del Sur)
28 September 2022 - 06:12 AM ,16.09,121.46,22,1.7,022 km S 47° W of Nagtipunan (Quirino)
28 September 2022 - 05:31 AM ,8.48,126.68,33,1.6,040 km N 71° E of Hinatuan (Surigao Del Sur)
28 September 2022 - 05:14 AM ,8.82,122.81,14,2.6,038 km S 43° W of Siaton (Negros Oriental)
28 September 2022 - 04:42 AM ,17.84,120.73,17,1.8,014 km N 12° E of Lagayan (Abra)
28 September 2022 - 04:41 AM ,17.42,120.68,13,2,003 km S 68° W of Manabo (Abra)
28 September 2022 - 03:17 AM ,6.83,126.62,19,3,031 km S 39° E of Tarragona (Davao Oriental)
28 September 2022 - 02:23 AM ,17.46,120.96,20,2.1,004 km S 86° E of Daguioman (Abra)
28 September 2022 - 02:12 AM ,13.83,120.59,113,2.3,005 km S 85° W of Calatagan (Batangas)
28 September 2022 - 02:09 AM ,6.59,126.38,28,2.8,034 km S 79° E of Governor Generoso (Davao Oriental)
28 September 2022 - 12:19 AM ,13.7,120.59,100,2.3,015 km S 18° W of Calatagan (Batangas)
28 September 2022 - 12:16 AM ,6.96,125.71,58,2.8,013 km S 03° W of Island Garden City Of Samal (Davao Del Norte)
28 September 2022 - 12:05 AM ,7.8,122.8,36,1.7,005 km East of Kabasalan (Zamboanga Sibugay)
28 September 2022 - 12:04 AM ,17.38,120.66,6,2.7,008 km N 27° W of Luba (Abra)
27 September 2022 - 11:21 PM ,9.54,125.67,24,2.2,007 km S 28° W of Gigaquit (Surigao Del Norte)
27 September 2022 - 11:16 PM ,17.6,120.76,10,2.4,003 km S 61° E of Lagangilang (Abra)
27 September 2022 - 10:55 PM ,9.58,126.2,34,1.8,023 km S 12° E of General Luna (Surigao Del Norte)
27 September 2022 - 10:39 PM ,9.49,126.34,41,1.7,029 km N 34° E of Cortes (Surigao Del Sur)
27 September 2022 - 10:05 PM ,8.87,122.74,14,3.7,039 km S 56° W of Siaton (Negros Oriental)
27 September 2022 - 09:18 PM ,17.28,120.54,21,2.1,002 km N 58° E of Lidlidda (Ilocos Sur)
27 September 2022 - 07:18 PM ,6.95,127.04,5,2.7,062 km S 63° E of Manay (Davao Oriental)
27 September 2022 - 06:55 PM ,17.47,120.56,18,2.2,004 km N 76° W of San Isidro (Abra)
27 September 2022 - 05:58 PM ,16.52,122.19,18,2.7,008 km S 83° W of Dinapigue (Isabela)
27 September 2022 - 05:31 PM ,7.72,122.14,33,2.3,001 km N 23° E of Siocon (Zamboanga Del Norte)
27 September 2022 - 04:08 PM ,18.15,120.76,35,1.8,006 km N 84° W of Carasi (Ilocos Norte)
27 September 2022 - 02:05 PM ,9.34,126.66,12,2.6,052 km N 82° E of Cortes (Surigao Del Sur)
27 September 2022 - 01:59 PM ,19.03,121.31,26,2.6,013 km S 52° E of Dalupiri Island (Calayan) (Cagayan)
27 September 2022 - 12:13 PM ,10.22,125.62,159,2.4,016 km S 14° E of Loreto (Dinagat Islands)
27 September 2022 - 11:31 AM ,17.87,120.7,3,1.9,006 km S 39° E of Nueva Era (Ilocos Norte)
27 September 2022 - 07:48 AM ,18.38,120.77,21,2.9,016 km S 15° W of Dumalneg (Ilocos Norte)
27 September 2022 - 07:05 AM ,16.13,121.92,7,2.2,004 km S 78° W of Dinalungan (Aurora)
27 September 2022 - 06:10 AM ,15.62,119.96,50,1.5,003 km S 83° E of Candelaria (Zambales)
27 September 2022 - 05:56 AM ,13.52,120.83,17,1.9,013 km N 80° W of Puerto Galera (Oriental Mindoro)
27 September 2022 - 05:13 AM ,9.98,125.66,33,1.6,006 km N 17° W of Cagdianao (Dinagat Islands)
27 September 2022 - 03:37 AM ,18.53,120.66,56,2.1,002 km N 32° E of Burgos (Ilocos Norte)
27 September 2022 - 03:14 AM ,6.73,125.1,22,2.3,006 km S 65° W of Magsaysay (Davao Del Sur)
27 September 2022 - 02:43 AM ,9.29,126.64,15,2.3,049 km N 88° E of Cortes (Surigao Del Sur)
27 September 2022 - 02:07 AM ,17.73,120.57,5,2.5,011 km N 66° W of Danglas (Abra)
27 September 2022 - 02:00 AM ,9.31,126.77,17,4.1,063 km N 87° E of Cortes (Surigao Del Sur)
27 September 2022 - 01:50 AM ,14.08,120.35,48,1.9,031 km N 89° W of Nasugbu (Batangas)
27 September 2022 - 01:45 AM ,9.31,126.68,11,3.3,054 km N 86° E of Cortes (Surigao Del Sur)
27 September 2022 - 01:33 AM ,7.46,124.12,16,2,006 km S 10° W of Balabagan (Lanao Del Sur)
27 September 2022 - 12:20 AM ,7.21,123.43,30,1.9,028 km S 03° E of Tabina (Zamboanga Del Sur)
27 September 2022 - 12:12 AM ,9.35,126.8,4,3.4,067 km N 83° E of Cortes (Surigao Del Sur)
26 September 2022 - 11:49 PM ,9.04,126.69,6,2.9,046 km N 80° E of Bayabas (Surigao Del Sur)
26 September 2022 - 11:44 PM ,10.75,124.95,5,2.3,005 km S 18° E of Javier (Leyte)
26 September 2022 - 11:32 PM ,6.75,126.48,31,3.2,034 km S 07° E of Tarragona (Davao Oriental)
26 September 2022 - 11:05 PM ,6.62,124.93,19,2.5,008 km S 22° W of Columbio (Sultan Kudarat)
26 September 2022 - 10:38 PM ,8.75,126.34,26,2.3,007 km S 41° E of Marihatag (Surigao Del Sur)
26 September 2022 - 10:35 PM ,12.46,123.63,8,1.8,010 km N 04° E of City Of Masbate (Masbate)
26 September 2022 - 10:00 PM ,13.59,120.32,7,2,016 km S 27° E of Looc (Occidental Mindoro)
26 September 2022 - 08:05 PM ,10.87,124.71,31,1.9,006 km S 19° E of Albuera (Leyte)
26 September 2022 - 05:55 PM ,13.52,120.7,2,2.3,009 km N 19° W of Abra De Ilog (Occidental Mindoro)
26 September 2022 - 05:22 PM ,17.52,120.6,1,2.6,005 km S 17° E of Pidigan (Abra)
26 September 2022 - 04:50 PM ,13.21,122.67,12,1.8,013 km S 03° W of San Andres (Quezon)
26 September 2022 - 03:06 PM ,19.19,121.39,19,2.8,012 km S 49° W of Calayan (Cagayan)
26 September 2022 - 02:45 PM ,14.11,123.73,4,2.2,025 km N 08° E of Garchitorena (Camarines Sur)
26 September 2022 - 10:53 AM ,4.36,126.27,60,3.4,152 km S 36° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental)
26 September 2022 - 08:59 AM ,9.35,126.76,8,3,063 km N 82° E of Cortes (Surigao Del Sur)
26 September 2022 - 07:45 AM ,13.64,120.15,29,2.1,014 km S 53° W of Looc (Occidental Mindoro)
26 September 2022 - 05:22 AM ,10.4,126.09,26,2.4,042 km N 02° E of Burgos (Surigao Del Norte)
26 September 2022 - 04:45 AM ,9.67,126.22,25,1.7,014 km S 29° E of General Luna (Surigao Del Norte)
26 September 2022 - 04:29 AM ,5.66,126.78,147,3.1,129 km S 78° E of Jose Abad Santos (Davao Occidental)
26 September 2022 - 04:28 AM ,9.02,126.97,7,2.3,075 km N 81° E of Cagwait (Surigao Del Sur)
26 September 2022 - 03:49 AM ,13.27,122.39,1,1.8,032 km S 79° W of San Andres (Quezon)
26 September 2022 - 02:41 AM ,8.36,126.65,30,2.1,034 km S 88° E of Hinatuan (Surigao Del Sur)
26 September 2022 - 01:43 AM ,6.81,125.01,23,2.5,018 km S 27° W of Makilala (Cotabato)
26 September 2022 - 01:16 AM ,8.2,125.86,18,2.6,011 km S 37° E of La Paz (Agusan Del Sur)
26 September 2022 - 01:15 AM ,13.7,122.39,8,3.7,009 km S 65° W of Buenavista (Quezon)
26 September 2022 - 12:30 AM ,7.84,126.27,1,2.7,012 km S 74° W of Boston (Davao Oriental)
25 September 2022 - 11:30 PM ,17.54,120.71,20,2.1,008 km S 18° W of Lagangilang (Abra)
25 September 2022 - 11:19 PM ,17.39,120.57,2,1.9,004 km S 44° W of Pilar (Abra)
25 September 2022 - 11:12 PM ,17.16,121.54,23,2.3,010 km N 65° W of Roxas (Isabela)
25 September 2022 - 10:57 PM ,19.14,121.19,36,1.7,003 km N 25° W of Dalupiri Island (Calayan) (Cagayan)
25 September 2022 - 10:25 PM ,10.02,126.02,33,1.8,002 km S 83° W of Santa Monica (Surigao Del Norte)
25 September 2022 - 09:48 PM ,13.72,123.28,31,2.6,007 km N 83° E of Calabanga (Camarines Sur)
25 September 2022 - 07:16 PM ,4.56,126.02,137,5.1,115 km S 35° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
25 September 2022 - 06:42 PM ,17.51,120.57,2,2.6,010 km S 27° W of Bangued (Abra)
25 September 2022 - 05:27 PM ,18.76,120.68,20,2.8,025 km N 26° W of Pagudpud (Ilocos Norte)
25 September 2022 - 04:10 PM ,18.38,120.84,10,2.8,011 km S 34° W of Adams (Ilocos Norte)
25 September 2022 - 04:07 PM ,13.61,121.04,1,2.2,019 km S 73° E of Tingloy (Batangas)
25 September 2022 - 10:54 AM ,5.98,125.79,159,3.5,018 km N 64° E of Jose Abad Santos (Davao Occidental)
25 September 2022 - 08:00 AM ,17.73,120.56,4,2.4,011 km S 79° E of San Juan (Ilocos Sur)
25 September 2022 - 05:42 AM ,20.82,121.79,15,3.3,006 km N 56° W of Itbayat (Batanes)
25 September 2022 - 05:37 AM ,17.84,120.63,10,2.4,010 km S 25° W of Nueva Era (Ilocos Norte)
25 September 2022 - 05:11 AM ,4.14,125.91,165,4.3,151 km S 21° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
25 September 2022 - 05:09 AM ,17.14,120.36,8,2.3,009 km S 73° W of City Of Candon (Ilocos Sur)
25 September 2022 - 04:53 AM ,13.3,121.39,23,2.3,010 km S 71° E of Naujan (Oriental Mindoro)
25 September 2022 - 04:32 AM ,8.48,122.45,34,2.4,046 km N 11° W of Labason (Zamboanga Del Norte)
25 September 2022 - 03:43 AM ,8.28,128.44,33,3.2,222 km N 69° E of Baganga (Davao Oriental)
25 September 2022 - 03:22 AM ,17.53,120.62,33,1.8,005 km S 47° W of Peñarrubia (Abra)
25 September 2022 - 02:22 AM ,18.1,121.15,29,1.7,009 km N 23° W of Kabugao (Apayao)
25 September 2022 - 01:45 AM ,5.98,125.96,102,2.8,036 km N 78° E of Jose Abad Santos (Davao Occidental)
25 September 2022 - 01:30 AM ,10.06,126.14,20,2.2,008 km N 61° E of Burgos (Surigao Del Norte)
25 September 2022 - 01:28 AM ,10.08,126.18,18,2,013 km N 57° E of Burgos (Surigao Del Norte)
25 September 2022 - 01:15 AM ,10.13,126.34,16,2.1,031 km N 68° E of Burgos (Surigao Del Norte)
25 September 2022 - 01:00 AM ,13.83,120.61,124,2.2,002 km S 71° W of Calatagan (Batangas)
25 September 2022 - 12:43 AM ,9.59,125.98,33,1.7,020 km S 22° W of Dapa (Surigao Del Norte)
25 September 2022 - 12:32 AM ,17.55,120.62,33,1.5,003 km S 71° W of Peñarrubia (Abra)
25 September 2022 - 12:30 AM ,8.49,126.84,7,2.6,057 km N 76° E of Hinatuan (Surigao Del Sur)
25 September 2022 - 12:10 AM ,12.98,125.27,16,3.4,051 km N 19° E of Palapag (Northern Samar)
24 September 2022 - 11:32 PM ,10.19,125.58,12,2.4,005 km S 78° E of Libjo (Dinagat Islands)
24 September 2022 - 10:26 PM ,9.61,126.19,30,2,021 km S 43° E of Dapa (Surigao Del Norte)
24 September 2022 - 09:51 PM ,9.76,126.09,25,2.4,005 km N 87° E of Dapa (Surigao Del Norte)
24 September 2022 - 09:43 PM ,17.6,120.78,16,2.9,005 km S 79° E of Lagangilang (Abra)
24 September 2022 - 09:39 PM ,17.76,120.57,3,2.5,012 km N 80° E of San Juan (Ilocos Sur)
24 September 2022 - 08:16 PM ,14.66,121.67,28,2.2,008 km S 87° E of Real (Quezon)
24 September 2022 - 06:46 PM ,11.88,125.3,9,3.2,014 km S 80° W of Taft (Eastern Samar)
24 September 2022 - 04:46 PM ,5.98,125.77,155,2.7,025 km S 20° E of Don Marcelino (Davao Occidental)
24 September 2022 - 03:54 PM ,13.89,120.4,46,1.7,025 km N 76° W of Calatagan (Batangas)
24 September 2022 - 03:51 PM ,9.35,126.14,26,1.8,010 km N 33° W of Cortes (Surigao Del Sur)
24 September 2022 - 02:22 PM ,13.51,119.31,34,2.9,096 km S 66° W of Lubang (Occidental Mindoro)
24 September 2022 - 09:38 AM ,8.84,126.56,17,2.4,029 km N 82° E of Marihatag (Surigao Del Sur)
24 September 2022 - 08:27 AM ,13.82,120.54,68,1.8,010 km S 83° W of Calatagan (Batangas)
24 September 2022 - 08:06 AM ,8.44,125.78,51,3.4,001 km S 18° W of Talacogon (Agusan Del Sur)
24 September 2022 - 06:38 AM ,14.19,121.18,24,2,005 km N 73° W of Los Baños (Laguna)
