Date - Time,Lat,Long,Depth,Mag,Location
 31 August 2022 - 11:53 PM ,17.63,120.52,33,2,015 km N 84° W of Tayum (Abra)
31 August 2022 - 10:05 PM ,13.71,120.61,76,1.7,014 km S 08° W of Calatagan (Batangas)
31 August 2022 - 09:11 PM ,17.94,120.73,4,2.3,008 km N 67° E of Nueva Era (Ilocos Norte)
31 August 2022 - 09:09 PM ,13.63,120.67,99,1.7,023 km S 10° E of Calatagan (Batangas)
31 August 2022 - 08:58 PM ,15.38,121.88,20,1.7,050 km N 08° E of Panukulan (Quezon)
31 August 2022 - 08:40 PM ,11.69,125.79,10,2.7,037 km N 57° E of Maydolong (Eastern Samar)
31 August 2022 - 08:25 PM ,3.69,125.53,130,3.9,191 km S 04° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
31 August 2022 - 08:24 PM ,10.07,126.38,9,2.6,034 km N 80° E of Burgos (Surigao Del Norte)
31 August 2022 - 06:51 PM ,9.01,123.2,14,3,010 km S 02° E of Zamboanguita (Negros Oriental)
31 August 2022 - 06:42 PM ,10.24,126.01,30,2.5,024 km N 08° W of Santa Monica (Surigao Del Norte)
31 August 2022 - 06:42 PM ,17.49,120.63,14,2.4,004 km N 50° E of San Isidro (Abra)
31 August 2022 - 06:42 PM ,13.95,120.55,77,1.5,016 km N 36° W of Calatagan (Batangas)
31 August 2022 - 05:52 PM ,8.43,126.49,20,3.2,018 km N 65° E of Hinatuan (Surigao Del Sur)
31 August 2022 - 05:44 PM ,15.3,122.13,1,2.9,053 km N 40° E of Panukulan (Quezon)
31 August 2022 - 05:08 PM ,11.15,125.53,3,2.4,001 km S 70° E of Quinapondan (Eastern Samar)
31 August 2022 - 04:35 PM ,17.47,120.04,26,3.2,037 km S 76° W of Caoayan (Ilocos Sur)
31 August 2022 - 03:22 PM ,15.23,122.07,1,1.9,044 km N 14° E of Burdeos (Quezon)
31 August 2022 - 01:53 PM ,17.02,120.61,104,2.6,006 km S 02° E of Sigay (Ilocos Sur)
31 August 2022 - 01:35 PM ,13.6,120.66,83,1.6,018 km N 23° W of Abra De Ilog (Occidental Mindoro)
31 August 2022 - 01:20 PM ,13.34,121.6,14,1.7,027 km N 39° E of Pola (Oriental Mindoro)
31 August 2022 - 01:15 PM ,8.99,125.96,9,2.1,010 km N 60° W of San Miguel (Surigao Del Sur)
31 August 2022 - 11:06 AM ,17.3,120.65,35,1.7,005 km S 63° W of Luba (Abra)
31 August 2022 - 11:04 AM ,17.35,120.3,23,2.2,015 km N 81° W of San Esteban (Ilocos Sur)
31 August 2022 - 09:50 AM ,15.47,119.78,29,2.2,015 km N 74° W of Palauig (Zambales)
31 August 2022 - 08:51 AM ,8.98,122.19,17,2.9,069 km S 47° W of Basay (Negros Oriental)
31 August 2022 - 06:15 AM ,12.18,125.75,24,2.7,026 km S 90° E of San Policarpo (Eastern Samar)
31 August 2022 - 05:07 AM ,8.81,126.31,33,2.4,002 km N 30° E of Marihatag (Surigao Del Sur)
31 August 2022 - 04:55 AM ,9.58,125.97,20,2.1,005 km S 03° E of Socorro (Surigao Del Norte)
31 August 2022 - 04:41 AM ,4.15,126.34,129,4.4,173 km S 36° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
31 August 2022 - 04:39 AM ,17.33,120.64,9,2.5,006 km N 76° W of Luba (Abra)
31 August 2022 - 04:14 AM ,17.97,121.17,25,1.5,006 km S 10° W of Kabugao (Apayao)
31 August 2022 - 04:08 AM ,9.21,126.28,22,2.6,013 km S 53° E of Cortes (Surigao Del Sur)
31 August 2022 - 03:26 AM ,17.43,120.57,17,2.2,003 km N 59° W of Pilar (Abra)
31 August 2022 - 03:00 AM ,8.85,126.45,20,2.4,018 km S 64° E of Cagwait (Surigao Del Sur)
31 August 2022 - 02:59 AM ,18.84,121.05,37,2.7,027 km N 07° W of Claveria (Cagayan)
31 August 2022 - 02:46 AM ,7.11,126.74,143,3,025 km S 63° E of Manay (Davao Oriental)
31 August 2022 - 02:18 AM ,6.44,126.31,61,2.1,035 km S 48° E of Governor Generoso (Davao Oriental)
31 August 2022 - 02:14 AM ,19.41,121.07,35,2,037 km N 23° W of Dalupiri Island (Calayan) (Cagayan)
31 August 2022 - 01:58 AM ,17.43,120.65,10,3,002 km S 79° E of Villaviciosa (Abra)
31 August 2022 - 01:07 AM ,8.83,126.29,16,2.9,010 km S 07° W of Cagwait (Surigao Del Sur)
31 August 2022 - 12:42 AM ,14.98,121.23,13,2.7,018 km N 88° E of Doña Remedios Trinidad (Bulacan)
31 August 2022 - 12:32 AM ,17.38,120.68,18,2.2,010 km S 69° E of Pilar (Abra)
31 August 2022 - 12:14 AM ,18.83,120.95,9,2.5,029 km N 30° W of Claveria (Cagayan)
30 August 2022 - 11:39 PM ,17.46,120.56,25,1.8,006 km N 38° W of Pilar (Abra)
30 August 2022 - 11:38 PM ,16.22,119.74,19,2.4,013 km N 31° W of Agno (Pangasinan)
30 August 2022 - 11:37 PM ,13.69,120.6,87,2,016 km S 15° W of Calatagan (Batangas)
30 August 2022 - 11:36 PM ,17.68,120.69,16,2.5,008 km N 31° E of Tayum (Abra)
30 August 2022 - 10:11 PM ,11.29,125.64,17,3.4,007 km S 22° E of Hernani (Eastern Samar)
30 August 2022 - 08:55 PM ,16.35,121.4,14,2.1,012 km N 70° E of Kasibu (Nueva Vizcaya)
30 August 2022 - 08:53 PM ,16.3,122.02,8,1.9,012 km N 75° W of Casiguran (Aurora)
30 August 2022 - 08:31 PM ,17.45,120.66,9,2.8,005 km N 67° E of Villaviciosa (Abra)
30 August 2022 - 08:20 PM ,4.52,127.84,110,3.8,286 km S 70° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
30 August 2022 - 08:02 PM ,17.31,120.82,10,1.5,014 km S 88° E of Luba (Abra)
30 August 2022 - 08:00 PM ,16.22,120.29,87,2.5,014 km S 56° W of Santo Tomas (La Union)
30 August 2022 - 07:31 PM ,17.42,120.36,7,2.7,011 km S 47° W of Santa (Ilocos Sur)
30 August 2022 - 07:12 PM ,15.11,120,23,2.6,008 km S 47° W of Cabangan (Zambales)
30 August 2022 - 06:54 PM ,17.7,120.79,9,1.8,005 km S 57° W of Tineg (Abra)
30 August 2022 - 05:31 PM ,13.67,120.57,88,2.8,019 km S 20° W of Calatagan (Batangas)
30 August 2022 - 05:25 PM ,10.39,125.98,13,2.5,042 km N 15° W of Burgos (Surigao Del Norte)
30 August 2022 - 05:20 PM ,10.41,125.99,12,2.7,044 km N 12° W of Burgos (Surigao Del Norte)
30 August 2022 - 05:07 PM ,9.77,123.59,15,2.6,006 km N 81° E of Dalaguete (Cebu)
30 August 2022 - 05:04 PM ,10.31,125.86,18,2.9,032 km S 81° E of Loreto (Dinagat Islands)
30 August 2022 - 03:48 PM ,8.6,127.02,7,2.4,080 km N 71° E of Hinatuan (Surigao Del Sur)
30 August 2022 - 03:09 PM ,10.27,125.85,40,1.7,031 km S 72° E of Loreto (Dinagat Islands)
30 August 2022 - 03:03 PM ,17.01,120.86,22,1.5,003 km North of Bauko (Mountain Province)
30 August 2022 - 01:57 PM ,9.26,126.03,11,2.1,003 km N 17° E of Carmen (Surigao Del Sur)
30 August 2022 - 11:11 AM ,9.93,124.12,5,2.6,004 km N 52° E of Sagbayan (Bohol)
30 August 2022 - 11:07 AM ,18.78,120.67,8,3,027 km N 26° W of Pagudpud (Ilocos Norte)
30 August 2022 - 10:52 AM ,13.75,120.36,2,2.4,012 km N 75° E of Looc (Occidental Mindoro)
