Date - Time,Lat,Long,Depth,Mag,Location
28 February 2022 - 11:47 PM,7.72,122.18,11,1.5,004 km N 76Åã E of Siocon (Zamboanga Del Norte)
28 February 2022 - 11:15 PM,13.4,121.87,8,2.5,006 km S 32Åã E of Boac (Marinduque)
28 February 2022 - 10:54 PM,13.68,120.58,101,2.3,018 km S 19Åã W of Calatagan (Batangas)
28 February 2022 - 09:18 PM,10.12,126.48,1,2.6,045 km N 76Åã E of Burgos (Surigao Del Norte)
28 February 2022 - 02:55 PM,15.93,119.5,136,1.7,038 km S 58Åã W of Agno (Pangasinan)
28 February 2022 - 01:09 PM,15.86,120.13,12,2.2,012 km S 75Åã W of Aguilar (Pangasinan)
28 February 2022 - 12:42 PM,14.83,119.7,27,2.4,044 km S 73Åã W of San Antonio (Zambales)
28 February 2022 - 12:17 PM,9.45,125.87,101,2.6,012 km N 42Åã W of Carrascal (Surigao Del Sur)
28 February 2022 - 11:58 AM,12.17,120.6,4,2.3,047 km N 66Åã E of Coron (Palawan)
28 February 2022 - 11:31 AM,17.8,120.76,9,2.3,011 km N 39Åã W of Tineg (Abra)
28 February 2022 - 06:28 AM,7.33,126.53,2,2.6,004 km N 88Åã W of Caraga (Davao Oriental)
28 February 2022 - 05:54 AM,8.82,125.71,4,2.5,001 km S 77Åã E of Sibagat (Agusan Del Sur)
28 February 2022 - 05:46 AM,6.89,125.69,42,2.6,020 km S 06Åã W of Island Garden City Of Samal (Davao Del Norte)
28 February 2022 - 04:15 AM,6.42,126.98,87,3,103 km S 75Åã E of Governor Generoso (Davao Oriental)
28 February 2022 - 02:39 AM,9.71,123.37,9,2.2,004 km S 62Åã E of Alegria (Cebu)
28 February 2022 - 01:36 AM,8.81,122.71,31,2.4,045 km S 52Åã W of Siaton (Negros Oriental)
28 February 2022 - 01:29 AM,7.01,125.92,22,2.3,016 km N 41Åã W of Lupon (Davao Oriental)
28 February 2022 - 01:25 AM,8.33,125.79,33,2,006 km N 20Åã W of La Paz (Agusan Del Sur)
28 February 2022 - 01:13 AM,5.86,127.18,95,3.2,154 km S 57Åã E of Governor Generoso (Davao Oriental)
28 February 2022 - 01:05 AM,8.32,125.91,19,2.1,013 km S 56Åã W of Rosario (Agusan Del Sur)
28 February 2022 - 01:03 AM,10.54,122.52,48,2.4,002 km N 41Åã W of Nueva Valencia (Guimaras)
28 February 2022 - 12:58 AM,8.3,125.91,21,2.9,014 km S 48Åã W of Rosario (Agusan Del Sur)
27 February 2022 - 11:35 PM,8.46,126.4,89,2.9,012 km N 32Åã E of Hinatuan (Surigao Del Sur)
27 February 2022 - 10:59 PM,13.36,120.52,9,1.9,009 km S 48Åã E of Paluan (Occidental Mindoro)
27 February 2022 - 10:25 PM,8.72,123.58,11,2.8,007 km N 19Åã W of Baliangao (Misamis Occidental)
27 February 2022 - 09:56 PM,13.91,124.08,52,2.1,010 km S 34Åã W of Caramoran (Catanduanes)
27 February 2022 - 09:08 PM,13.87,120.46,81,2.2,019 km N 79Åã W of Calatagan (Batangas)
27 February 2022 - 06:55 PM,15.85,122.13,17,2.4,037 km S 30Åã E of Dinalungan (Aurora)
27 February 2022 - 05:35 PM,13.85,120.42,83,2.5,023 km N 86Åã W of Calatagan (Batangas)
27 February 2022 - 05:33 PM,16.23,121.43,1,2.4,020 km S 46Åã E of Kayapa (Nueva Vizcaya)
27 February 2022 - 07:54 AM,12.39,124.76,32,2.6,014 km S 03Åã E of Mondragon (Northern Samar)
27 February 2022 - 05:29 AM,9.09,126.58,26,2.6,035 km N 68Åã E of Bayabas (Surigao Del Sur)
27 February 2022 - 04:49 AM,10.09,125.75,14,3.7,020 km N 24Åã E of Cagdianao (Dinagat Islands)
27 February 2022 - 04:16 AM,16.56,122.19,17,2.2,009 km N 67Åã W of Dinapigue (Isabela)
27 February 2022 - 03:45 AM,8.48,123.27,3,2.2,003 km S 23Åã W of Katipunan (Zamboanga Del Norte)
27 February 2022 - 02:40 AM,13.51,120.55,57,2.1,014 km N 42Åã E of Paluan (Occidental Mindoro)
26 February 2022 - 11:48 PM,13.15,124.16,9,3.6,020 km N 44Åã E of Prieto Diaz (Sorsogon)
26 February 2022 - 10:31 PM,9.79,126.12,1,2.6,004 km N 73Åã W of General Luna (Surigao Del Norte)
26 February 2022 - 08:39 PM,7.72,126.44,28,1.9,008 km S 09Åã W of Cateel (Davao Oriental)
26 February 2022 - 02:15 PM,5.58,126.39,117,5.3,091 km S 66Åã E of Jose Abad Santos (Davao Occidental)
26 February 2022 - 11:58 AM,13.32,120.64,44,1.8,011 km N 25Åã E of Mamburao (Occidental Mindoro)
26 February 2022 - 09:00 AM,13.95,120.14,7,2.6,010 km N 12Åã E of Lubang (Occidental Mindoro)
26 February 2022 - 06:52 AM,18.3,119.55,15,3.3,103 km N 73Åã W of Currimao (Ilocos Norte)
26 February 2022 - 06:44 AM,5.86,126.57,67,3.5,102 km S 87Åã E of Jose Abad Santos (Davao Occidental)
26 February 2022 - 06:20 AM,13.64,120.46,43,1.7,024 km S 69Åã E of Looc (Occidental Mindoro)
26 February 2022 - 05:42 AM,13.71,120.61,75,1.8,014 km S 08Åã W of Calatagan (Batangas)
26 February 2022 - 03:34 AM,6.76,124.91,6,1.8,004 km N 76Åã E of Datu Paglas (Maguindanao)
26 February 2022 - 02:18 AM,13.68,120.6,121,2,017 km S 10Åã W of Calatagan (Batangas)
26 February 2022 - 01:11 AM,11.31,125.47,25,1.7,014 km S 39Åã W of Llorente (Eastern Samar)
25 February 2022 - 09:03 PM,13.37,120.19,34,3,031 km S 80Åã W of Paluan (Occidental Mindoro)
25 February 2022 - 09:01 PM,16.48,122.17,12,2.6,010 km N 24Åã W of Dilasag (Aurora)
25 February 2022 - 07:56 PM,11.33,125.52,24,2.1,009 km S 16Åã W of Llorente (Eastern Samar)
25 February 2022 - 05:14 PM,9.89,126.12,9,3.4,004 km N 32Åã E of Pilar (Surigao Del Norte)
25 February 2022 - 02:25 PM,8.45,126.7,4,2.7,041 km N 78Åã E of Hinatuan (Surigao Del Sur)
25 February 2022 - 02:00 PM,15.21,120.27,16,1.8,016 km N 63Åã E of Cabangan (Zambales)
25 February 2022 - 12:45 PM,8.87,122.94,8,2.5,023 km S 27Åã W of Siaton (Negros Oriental)
25 February 2022 - 12:39 PM,5.88,126.57,11,4.4,102 km S 88Åã E of Jose Abad Santos (Davao Occidental)
25 February 2022 - 12:30 PM,13.69,120.57,82,3.1,017 km S 22Åã W of Calatagan (Batangas)
25 February 2022 - 12:05 PM,5.79,125.88,154,3,029 km S 63Åã E of Jose Abad Santos (Davao Occidental)
25 February 2022 - 12:00 PM,13.71,120.52,85,3.5,018 km S 41Åã W of Calatagan (Batangas)
25 February 2022 - 08:30 AM,8.45,126.77,18,3.1,049 km N 79Åã E of Hinatuan (Surigao Del Sur)
25 February 2022 - 08:10 AM,13.11,120.06,11,2.3,055 km S 53Åã W of Paluan (Occidental Mindoro)
25 February 2022 - 06:19 AM,5.92,126.61,49,4.7,101 km S 36Åã E of Governor Generoso (Davao Oriental)
